United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,56,299,93,77,228,125,199,176,244,56,118,300
INCOME IN 2007,,,,,,,,,,,,
.Without income,10,26,1,3,34,10,24,6,24,1,14,32
".Under $10,000 or loss",8,65,17,15,57,14,46,23,55,12,22,44
".$10,000 to $19,999",12,42,10,20,44,34,22,52,58,6,26,57
".$20,000 to $29,999",2,50,21,7,20,15,21,32,33,4,17,46
".$30,000 to $39,999",7,35,12,6,18,25,12,18,16,1,3,19
".$40,000 to $49,999",5,22,12,10,15,4,15,13,19,11,12,27
".$50,000 to $59,999",6,17,13,6,12,10,21,12,7,1,5,16
".$60,000 to $74,999",1,9,3,5,6,-,10,7,8,8,9,21
".$75,000 and over",6,33,5,5,22,13,28,13,25,14,10,38
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),18,180,70,63,130,74,111,100,128,39,64,201
.Unemployed,1,16,9,1,6,14,12,21,23,1,11,28
.Armed Forces/1,2,9,-,-,12,1,-,9,22,-,4,12
.Not in labor force,35,93,14,12,80,37,76,46,73,15,39,60
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",7,39,11,9,16,6,15,13,15,8,10,26
.Professional,7,51,18,15,28,24,36,35,33,20,19,47
.Service,2,29,8,7,21,17,10,15,30,8,12,20
.Sales,1,14,9,10,25,7,17,10,23,1,2,38
.Office and administrative support,1,19,17,7,9,6,17,6,8,1,9,15
".Farming, fishing, and forestry",-,-,-,5,-,-,-,-,-,-,-,-
.Construction and extraction ,-,6,3,-,7,4,6,8,5,1,2,17
".Installation, maintenance, and repair",-,2,-,-,10,4,3,7,4,-,-,6
.Production,1,10,-,7,3,1,5,3,4,-,7,9
.Transportation and material moving,-,10,3,4,10,6,2,4,6,-,2,22
.Not employed civilian,38,118,23,14,98,51,89,76,117,17,54,99
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,-,-,7,-,-,-,-,-,-,2,-
.Mining,-,-,-,-,-,-,-,2,3,-,-,-
.Construction,-,11,5,1,7,7,6,6,5,1,2,20
.Manufacturing,1,13,-,10,12,6,3,13,7,-,15,10
.Wholesale and retail trade,1,29,12,13,22,10,20,11,20,4,7,42
.Transportation and utilities,-,8,10,1,7,1,4,3,4,-,2,20
.Information,-,4,1,4,3,-,6,4,4,-,1,5
.Financial activities,1,20,8,6,14,4,16,-,3,1,1,21
.Professional and business services,4,38,8,9,22,18,5,14,19,6,6,26
.Educational and health services,7,35,14,8,24,13,33,25,33,20,14,25
.Leisure and hospitality,2,11,9,1,7,10,13,7,22,3,11,17
.Other services,3,11,-,2,10,3,-,10,3,3,2,12
.Public administration,-,1,2,3,3,1,3,5,5,1,-,3
.Not employed civilian,38,118,23,14,98,51,89,76,117,17,54,99
