Selected Characteristic,Total,Change in marital status,To establish own household,Other family reason,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood/ less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
MOVERS 1+ YEARS,"39,888","2,841","3,108","4,882","4,157",758,"1,366",216,540,"3,704","7,091","1,609","2,648","3,759","1,289",234,633,"1,052"
SEX,,,,,,,,,,,,,,,,,,
.Male,"19,977","1,363","1,490","2,286","2,263",442,736,110,326,"1,854","3,519",809,"1,322","1,883",641,117,294,521
.Female,"19,910","1,478","1,618","2,596","1,895",316,629,106,214,"1,850","3,572",800,"1,326","1,876",648,117,339,530
AGE,,,,,,,,,,,,,,,,,,
.Under 16 years,"9,694",657,678,"1,471",992,121,268,12,107,928,"2,073",422,581,"1,024",65,29,48,218
.16 to 19 years,"2,241",140,277,347,160,35,35,-,44,170,324,95,110,200,205,3,18,75
.20 to 24 years,"6,176",442,842,604,502,175,242,-,81,379,868,207,452,488,683,31,23,157
.25 to 29 years,"5,503",366,515,512,720,110,230,3,74,641,867,212,431,448,201,9,36,128
.30 to 44 years,"9,501",806,533,979,"1,213",189,404,25,158,"1,108","1,813",410,549,795,112,43,114,252
.45 to 64 years,"5,289",383,231,688,555,120,182,101,72,429,946,208,402,560,24,67,165,156
.65 to 74 years,861,30,24,154,9,6,4,62,5,23,145,33,81,148,-,27,75,35
.75+ years,623,16,8,128,7,2,-,11,-,25,55,22,41,96,-,24,154,31
RACE/ETHNICITY,,,,,,,,,,,,,,,,,,
.White alone,"30,750","2,267","2,339","3,742","3,321",615,"1,091",206,438,"2,813","5,419","1,110","2,013","2,880",972,223,491,809
.Black or African American alone,"5,826",405,581,753,373,90,149,5,58,534,"1,116",354,478,590,121,-,65,155
.Asian alone,"1,795",73,73,199,295,18,63,2,18,248,330,63,63,100,154,8,47,42
.All remaining single races and Two or More Races/1,"1,516",97,116,189,168,35,62,2,26,109,226,82,93,190,42,3,30,45
.Hispanic or Latino/2,"7,584",453,682,880,682,353,279,4,173,644,"1,377",333,620,740,113,26,51,173
".White alone, not Hispanic or Latino","23,742","1,856","1,692","2,920","2,681",279,828,202,275,"2,227","4,148",811,"1,427","2,231",880,197,442,643
".All remaining single races and Two or More Races, not Hispanic or Latino/1","8,562",532,734,"1,082",795,126,259,9,92,833,"1,566",464,601,788,296,11,140,236
.White alone or in combination with one or more other races,"31,636","2,319","2,416","3,829","3,434",641,"1,132",209,456,"2,868","5,559","1,164","2,077","2,968",992,224,511,835
