Selected Characteristics,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 16+ years,72,404,149,43,339,192,151,288,236,86,146,272
,,,,,,,,,,,,
.Without income,3,37,12,6,18,27,12,16,29,11,21,36
".Under $10,000 or loss",21,88,24,9,69,32,41,72,54,15,32,72
".$10,000 to $19,999",9,57,25,5,76,28,16,54,51,14,31,61
".$20,000 to $29,999",10,55,23,11,80,36,24,51,27,15,13,30
".$30,000 to $39,999",4,64,16,3,27,16,16,27,31,12,10,19
".$40,000 to $49,999",3,39,17,5,15,4,14,11,21,4,16,8
".$50,000 to $59,999",3,24,14,1,3,12,5,12,9,3,3,12
".$60,000 to $74,999",8,17,7,-,10,9,1,22,5,1,7,11
".$75,000 and over",13,22,12,-,40,27,21,23,10,10,14,23
,,,,,,,,,,,,
Employed (civilian),47,246,101,29,215,126,100,153,130,54,81,146
Unemployed,7,36,9,3,26,6,11,18,28,-,12,15
Armed Forces/1,-,6,2,-,5,2,2,-,15,6,1,15
Not in labor force,17,115,37,11,93,58,37,117,64,25,52,96
,,,,,,,,,,,,
"Management, business, and financial",8,24,11,4,32,13,17,26,21,10,4,8
Professional,23,71,34,14,43,33,18,25,15,15,16,37
Service,1,37,23,3,38,23,8,28,37,9,16,22
Sales,8,36,8,-,26,22,13,12,15,-,14,34
Office and administrative support,3,26,11,6,30,14,18,9,16,12,10,14
"Farming, fishing, and forestry",-,-,-,-,3,1,3,2,-,-,-,-
Construction and extraction ,2,19,4,-,11,10,7,12,11,1,4,2
"Installation, maintenance, and repair",3,6,1,-,10,2,3,7,-,4,1,1
Production,-,17,3,-,13,3,2,17,4,-,9,17
Transportation and material moving,-,10,6,-,10,4,10,12,10,3,8,10
Not employed civilian,24,158,48,14,124,66,50,135,106,31,65,125
,,,,,,,,,,,,
"Agricultural, forestry, fishing, and hunting ",-,2,-,-,8,1,3,2,-,-,-,-
Mining,-,-,-,-,6,-,-,-,2,-,-,-
Construction,2,31,3,-,10,14,7,7,11,8,3,14
Manufacturing,5,18,10,4,23,8,15,42,10,10,18,13
Wholesale and retail trade,3,37,12,1,39,17,17,24,13,3,13,30
Transportation and utilities,4,7,3,-,12,10,4,1,12,2,6,4
Information,3,3,2,-,4,5,1,3,1,5,-,14
Financial activities,-,23,2,-,18,10,3,3,10,1,5,4
Professional and business services,11,29,13,1,16,17,22,19,20,5,4,12
Educational and health services,15,55,36,9,31,32,17,20,16,3,22,22
Leisure and hospitality,3,18,19,4,21,9,4,27,25,7,10,27
Other services,1,16,1,2,18,2,5,2,6,8,-,2
Public administration,-,7,1,7,9,1,1,2,3,2,-,4
Not employed civilian,24,158,48,14,124,66,50,135,106,31,65,125
,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,
"1/  Includes members of the Armed Forces in the United States living off post or with their families on post, but excludes all other members of the Armed Forces.",,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,,,
"Internet Release Date: September 27, 2006",,,,,,,,,,,,
