United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,111,225,72,23,223,123,138,198,291,27,119,341
INCOME IN 2010,,,,,,,,,,,,
.Without income,10,29,15,-,23,7,9,33,40,1,16,27
".Under $10,000 or loss",17,60,6,8,44,20,21,45,46,7,15,93
".$10,000 to $19,999",15,33,14,1,33,29,21,29,44,4,22,64
".$20,000 to $29,999",15,26,13,2,33,15,30,26,44,2,13,33
".$30,000 to $39,999",18,20,7,4,20,9,14,21,43,6,19,31
".$40,000 to $49,999",7,29,4,-,17,7,4,21,19,4,5,21
".$50,000 to $59,999",5,3,-,-,20,17,11,6,17,4,9,15
".$60,000 to $74,999",7,6,11,-,9,10,6,7,16,-,2,21
".$75,000 and over",18,20,2,7,25,7,23,11,22,-,18,37
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),64,97,33,15,139,78,92,88,153,18,77,173
.Unemployed,9,37,12,1,24,17,15,24,28,4,8,38
.Armed Forces/1,-,5,4,-,1,1,1,10,11,-,2,18
.Not in labor force,38,85,23,7,58,28,30,76,99,4,32,112
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",18,11,5,7,6,11,15,13,20,-,10,35
.Professional,26,31,19,2,44,23,52,24,53,7,18,41
.Service,5,19,3,1,33,10,3,12,23,3,27,41
.Sales,5,12,3,4,25,14,5,18,26,2,1,21
.Office and administrative support,6,9,1,1,17,7,1,11,16,5,10,9
".Farming, fishing, and forestry",-,-,-,-,1,3,-,2,-,-,-,-
.Construction and extraction ,-,3,1,-,-,2,7,3,2,-,4,1
".Installation, maintenance, and repair",-,4,1,-,2,-,5,-,2,-,1,6
.Production,4,-,1,-,6,1,4,2,6,-,5,13
.Transportation and material moving,-,7,-,-,5,7,-,3,5,-,1,5
.Not employed civilian,47,128,38,8,83,45,46,110,138,9,41,167
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,-,1,-,4,3,2,2,-,-,2,-
.Mining,-,-,-,-,-,-,2,-,-,-,1,-
.Construction,-,7,-,-,-,2,5,3,8,-,2,5
.Manufacturing,10,2,2,-,16,1,11,8,18,-,6,16
.Wholesale and retail trade,11,16,4,4,21,12,10,17,22,6,1,29
.Transportation and utilities,2,3,-,-,3,3,5,2,3,-,2,9
.Information,-,-,3,-,6,8,11,-,5,-,-,7
.Financial activities,2,4,3,-,2,-,2,4,7,-,8,12
.Professional and business services,10,9,2,5,16,17,9,15,23,2,14,25
.Educational and health services,22,21,12,2,35,17,24,17,43,6,15,26
.Leisure and hospitality,4,19,-,1,29,11,3,11,11,3,12,22
.Other services,-,7,5,1,3,3,5,4,8,-,9,12
.Public administration,3,8,2,4,5,2,4,4,4,-,5,9
.Not employed civilian,47,128,38,8,83,45,46,110,138,9,41,167
