United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,48,272,151,41,292,183,153,229,316,36,159,267
INCOME IN 2011,,,,,,,,,,,,
.Without income,3,37,23,2,34,18,9,35,51,-,29,32
".Under $10,000 or loss",13,38,14,16,71,36,23,47,57,4,48,33
".$10,000 to $19,999",10,54,23,4,57,24,18,63,46,7,27,39
".$20,000 to $29,999",8,50,11,7,38,37,23,18,42,4,14,41
".$30,000 to $39,999",3,27,24,-,19,9,23,24,32,4,13,40
".$40,000 to $49,999",2,9,10,1,17,19,4,7,18,5,11,23
".$50,000 to $59,999",-,17,8,4,8,5,21,10,15,-,9,14
".$60,000 to $74,999",1,9,9,3,11,7,16,5,22,5,2,20
".$75,000 and over",8,30,28,6,36,28,17,21,34,7,7,25
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),33,167,83,26,176,108,91,107,166,29,74,128
.Unemployed,-,30,32,3,20,9,16,26,46,2,26,32
.Armed Forces/1,-,8,8,-,8,4,-,2,15,1,7,19
.Not in labor force,14,65,29,12,88,62,45,94,89,4,53,87
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",2,21,8,1,17,26,20,8,33,11,10,27
.Professional,12,47,32,16,45,34,25,20,67,6,21,31
.Service,3,30,23,6,55,12,5,12,17,7,19,21
.Sales,1,29,16,3,17,17,17,13,8,3,7,20
.Office and administrative support,5,13,-,-,25,8,11,14,29,-,2,11
".Farming, fishing, and forestry",-,2,-,-,1,3,-,10,-,-,-,-
.Construction and extraction ,-,10,-,-,5,2,1,12,5,-,7,5
".Installation, maintenance, and repair",-,1,-,-,1,1,4,4,5,-,-,4
.Production,-,1,3,-,6,2,5,9,-,1,4,3
.Transportation and material moving,9,14,-,-,4,2,4,6,1,-,4,5
.Not employed civilian,15,104,68,15,116,74,61,122,150,7,85,139
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,2,-,-,4,4,-,7,2,-,-,3
.Mining,-,-,-,-,1,1,3,2,5,-,3,2
.Construction,-,16,-,-,6,2,6,9,9,-,6,12
.Manufacturing,4,9,3,2,20,9,13,16,12,3,2,13
.Wholesale and retail trade,8,35,12,3,28,25,14,19,12,2,10,28
.Transportation and utilities,2,7,-,-,1,7,4,2,-,-,4,4
.Information,3,8,8,-,2,3,3,4,8,1,-,5
.Financial activities,2,10,11,-,4,11,7,4,10,4,-,2
.Professional and business services,2,21,8,3,19,12,1,16,40,2,16,14
.Educational and health services,11,30,15,14,44,27,25,19,29,12,18,13
.Leisure and hospitality,-,23,23,4,26,2,8,7,27,7,9,9
.Other services,-,4,2,-,11,-,6,1,7,-,4,11
.Public administration,-,2,2,-,10,5,-,2,6,-,2,13
.Not employed civilian,15,104,68,15,116,74,61,122,150,7,85,139
