United States,Total,Change in marital status,To establish own household,Other family reason,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood /less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
MOVERS 1+ years,"35,918","1,817","3,753","5,301","3,242",750,"1,941",237,809,"2,099","5,332","1,135","2,989","5,016",215,20,136,1127
SEX,,,,,,,,,,,,,,,,,,0
.Male,"17,638",775,"1,856","2,588","1,645",445,986,117,411,"1,071","2,567",559,"1,492","2,410",95,14,59,546
.Female,"18,280","1,042","1,897","2,712","1,597",306,955,119,397,"1,028","2,765",576,"1,497","2,606",120,6,77,581
AGE,,,,,,,,,,,,,,,,,,0
.Under 16 years,"8,328",425,782,"1,358",714,165,351,14,196,543,"1,511",308,676,"1,012",5,6,10,252
.16 to 19 years,"1,948",98,207,368,124,38,100,1,22,98,237,65,167,297,33,3,14,79
.20 to 24 years,"5,416",198,893,604,511,125,334,-,87,178,778,107,474,881,95,-,6,146
.25 to 29 years,"4,915",180,697,649,541,132,367,-,122,258,681,148,322,627,67,3,3,118
.30 to 44 years,"8,288",561,756,972,952,156,495,16,259,654,"1,251",306,674,"1,004",11,6,13,202
.45 to 64 years,"5,443",310,371,929,375,127,278,74,114,308,678,161,539,866,5,-,32,276
.65 to 74 years,935,29,32,220,16,4,9,81,9,54,136,31,84,172,-,2,21,36
.75+ years,645,16,17,201,10,4,7,51,-,5,61,8,53,158,-,-,37,16
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,0
.White alone,"26,219","1,463","2,747","3,915","2,547",503,"1,288",227,609,"1,606","3,705",719,"2,178","3,534",166,19,105,888
.Black or African American alone,"5,940",252,674,889,276,150,370,7,94,209,"1,117",312,515,878,12,1,20,165
.Asian alone,"2,041",45,149,239,302,34,167,2,73,161,283,35,160,319,33,-,-,37
.All remaining single races and all race combinations/1,"1,719",57,183,257,118,63,117,1,33,123,226,68,136,285,4,-,11,36
".White alone, not Hispanic or Latino","19,862","1,182","2,059","2,885","2,075",266,978,211,493,"1,263","2,732",480,"1,476","2,834",142,4,103,679
.Hispanic or Latino/2,"7,230",320,806,"1,165",501,250,373,15,129,451,"1,035",273,776,861,24,15,13,220
.White alone or in combination with one or more other races,"27,198","1,485","2,858","4,061","2,621",541,"1,348",227,625,"1,697","3,816",776,"2,261","3,684",170,19,105,905
