Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table 13.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2007 to 2008",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 1+ years,64,363,104,98,303,159,247,220,307,63,179,371
,,,,,,,,,,,,
SEX,,,,,,,,,,,,
.Male,24,185,57,66,123,83,117,113,150,33,91,192
.Female,41,178,46,32,181,76,130,106,157,30,88,180
AGE,,,,,,,,,,,,
.1 to 4 years,4,11,4,3,20,10,20,19,21,3,24,29
.5 to 9 years,4,20,2,7,31,17,14,13,21,5,16,21
.10 to 14 years,-,29,3,11,22,7,13,8,19,-,15,22
.15 to 19 years,-,15,2,8,19,5,10,15,12,1,8,17
.20 to 24 years,14,33,12,10,49,37,30,25,49,7,28,82
.25 to 29 years,17,55,40,25,56,16,35,26,44,4,26,52
.30 to 44 years,8,96,27,26,66,36,55,64,86,32,39,80
.45 to 64 years,12,84,9,8,34,28,53,28,35,9,18,57
.65 to 74 years,7,11,5,-,6,2,8,14,9,3,1,11
.75+ years,-,10,-,-,-,1,9,7,12,-,4,1
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,
.White alone,37,292,72,97,252,152,201,186,240,51,158,329
.Black or African American alone,8,52,13,-,25,-,40,15,36,5,12,23
.Asian alone,19,7,14,-,18,3,6,-,14,6,6,5
.All remaining single races and all race combinations/1,-,12,5,-,8,3,-,19,16,1,3,14
".White alone, not Hispanic or Latino",36,243,55,95,227,131,162,173,213,50,146,261
.Hispanic or Latino/2,1,56,26,3,25,22,43,21,27,1,13,74
.White alone or in combination with one or more other races,37,303,74,98,252,155,201,203,248,51,162,338
.Black or African American alone or in combination with one or more other races,8,57,16,-,33,2,40,25,40,6,14,23
.Asian alone or in combination with one or more other races,19,14,14,-,18,5,6,-,14,6,6,6
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,
".Householder, spouse present",10,60,19,13,52,19,44,35,47,9,25,73
.Other family householder,4,21,2,-,12,8,15,11,14,6,9,19
.Spouse of householder,7,63,19,13,53,21,48,39,52,9,22,72
.Child of householder,6,77,10,28,99,34,61,55,75,8,58,93
.Other relative of householder,8,27,5,6,24,22,9,30,18,2,21,23
.Nonrelative of householder,15,49,21,14,14,16,25,17,46,20,17,30
.Nonfamily householder,14,67,28,23,49,39,44,33,54,10,27,62
.Secondary individual in group quarters,-,-,-,-,-,-,-,-,-,-,-,-
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
.Not a high school graduate,1,12,5,6,4,6,11,6,16,-,7,26
.High school graduate,11,89,13,3,62,21,40,44,43,5,23,33
.Some college or AA degree,8,67,10,9,33,15,35,36,66,4,23,68
.Bachelor's degree,17,58,24,26,35,13,32,43,45,14,23,48
.Prof. or graduate degree,7,30,29,15,27,28,43,11,15,24,12,25
.Persons age 1-24,22,108,22,39,141,76,87,81,122,15,91,171
MARITAL STATUS,,,,,,,,,,,,
".Married, spouse present",26,128,38,26,112,43,92,94,102,18,49,149
".Married, spouse absent",1,10,-,-,3,8,5,6,6,-,5,3
.Widowed,-,17,-,-,6,3,2,1,11,3,5,6
.Divorced,9,25,5,3,14,6,20,24,32,5,16,28
.Separated,-,5,1,-,3,4,3,3,1,1,2,8
.Never married,21,120,50,48,93,60,77,52,94,28,48,106
.Persons age 1-14,8,60,9,21,73,34,47,40,60,8,55,72
NATIVITY,,,,,,,,,,,,
 .Native,41,313,71,97,268,135,233,215,280,52,165,324
 .Foreign born,23,51,32,1,36,24,14,5,27,12,14,47
  ..Naturalized U.S. citizen,15,17,8,-,6,1,6,1,8,1,2,16
  ..Not a US citizen,7,34,25,1,29,23,8,4,19,10,12,31
TENURE,,,,,,,,,,,,
.In an owner-occupied housing unit,17,123,13,54,119,28,108,89,63,40,91,141
.In a renter-occupied housing unit,47,235,90,39,177,125,138,128,238,23,88,216
.In a no cash renter-occupied housing unit,-,5,-,5,7,5,1,3,5,-,-,15
POVERTY STATUS,,,,,,,,,,,,
.Below 100% of poverty,10,61,25,22,33,25,74,17,54,8,40,48
.100% to 149% of poverty,8,41,2,6,60,11,9,27,44,4,21,23
.150% of poverty and above,46,261,76,71,210,123,164,176,209,51,119,300
Footnotes:,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2008 Annual Social and Economic Supplement",,,,,,,,,,,,
Internet Release Date: April 2009 ,,,,,,,,,,,,
