United States,Total,Change in marital status,To establish own household,Other family reason,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood /less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
MOVERS 1+ years,"38,681","2,296","3,808","5,555","3,789",648,"1,858",214,"1,551","2,292","6,096","2,130","3,089","2,628",743,146,531,"1,307"
SEX,,,,,,,,,,,,,,,,,,0
.Male,"19,457","1,122","1,877","2,539","2,023",421,"1,005",108,797,"1,150","2,987","1,074","1,562","1,358",409,83,230,711
.Female,"19,224","1,174","1,930","3,017","1,766",226,853,106,755,"1,142","3,109","1,057","1,526","1,270",334,62,301,596
AGE,,,,,,,,,,,,,,,,,,0
.Under 16 years,"9,389",479,815,"1,646",941,119,366,14,337,576,"1,685",605,784,633,21,7,63,300
.16 to 19 years,"2,301",105,296,454,141,39,89,1,73,80,345,126,186,140,98,2,20,107
.20 to 24 years,"5,516",262,854,673,527,113,261,5,220,215,760,246,451,292,404,11,29,192
.25 to 29 years,"5,315",358,666,627,616,77,312,1,175,435,763,248,403,292,148,23,28,143
.30 to 44 years,"9,184",690,747,"1,133","1,092",186,515,25,433,595,"1,510",527,680,615,54,21,90,269
.45 to 64 years,"5,512",361,349,706,452,106,287,69,267,349,855,302,483,481,18,48,130,250
.65 to 74 years,853,22,45,180,13,1,19,75,36,18,141,51,75,84,-,23,59,11
.75+ years,610,19,36,137,7,6,9,22,9,24,38,26,28,91,-,10,112,34
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,0
.White alone,"28,903","1,858","2,861","4,043","3,021",561,"1,415",187,"1,100","1,811","4,471","1,477","2,176","1,922",531,110,422,939
.Black or African American alone,"6,409",253,727,"1,097",361,57,275,23,294,269,"1,119",438,556,487,101,20,89,243
.Asian alone,"1,906",107,87,213,304,17,110,4,87,144,305,99,171,110,75,2,1,70
.All remaining single races and all race combinations/1,"1,464",79,133,202,103,13,58,-,70,69,201,116,186,109,36,14,19,55
".White alone, not Hispanic or Latino","22,460","1,570","2,184","3,090","2,541",287,"1,012",182,876,"1,434","3,432","1,110","1,498","1,487",492,100,385,784
.Hispanic or Latino/2,"6,977",324,765,"1,042",494,275,420,5,272,402,"1,116",413,719,459,51,10,47,166
.White alone or in combination with one or more other races,"29,726","1,907","2,927","4,168","3,084",571,"1,440",187,"1,139","1,861","4,600","1,531","2,273","1,987",541,118,429,962
.Black or African American alone or in combination with one or more other races,"6,787",275,761,"1,148",388,57,291,23,307,283,"1,174",478,620,511,102,20,92,258
.Asian alone or in combination with one or more other races,"2,084",119,103,229,326,17,113,4,102,158,325,113,189,131,83,2,1,71
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,,,,,,,0
".Householder, spouse present","4,974",276,368,507,671,52,242,62,200,455,971,318,288,375,27,31,64,69
.Other family householder,"3,423",290,456,553,176,45,146,3,123,161,535,214,380,215,22,4,39,62
.Spouse of householder,"5,153",442,353,535,677,56,235,67,193,443,967,311,287,368,36,31,64,88
.Child of householder,"10,847",599,906,"1,687","1,086",216,417,21,442,624,"1,911",700,910,785,57,12,125,346
.Other relative of householder,"3,056",129,125,907,148,94,95,16,78,132,340,155,251,193,36,8,98,253
.Nonrelative of householder,"4,793",205,590,694,383,101,333,10,125,152,618,183,416,290,259,20,29,385
.Nonfamily householder,"6,435",356,"1,010",671,648,83,390,36,391,324,754,250,557,402,307,40,111,105
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,0
.Not a high school graduate,"3,458",146,285,569,134,154,167,19,161,169,510,172,471,271,2,11,82,136
.High school graduate,"6,436",437,580,932,439,117,325,67,264,406,946,404,556,475,23,46,162,256
.Some college or AA degree,"5,534",430,565,759,512,49,304,43,236,347,805,294,378,447,60,42,105,158
.Bachelor's degree,"4,063",322,300,376,694,32,224,25,159,343,708,190,204,256,72,16,53,88
.Prof. or graduate degree,"1,985",117,113,147,402,25,122,39,101,156,337,94,60,113,64,9,17,69
.Persons age 1-24,"17,206",846,"1,964","2,772","1,609",271,716,21,631,871,"2,789",976,"1,420","1,066",523,21,112,600
MARITAL STATUS,,,,,,,,,,,,,,,,,,0
".Married, spouse present","10,671",750,740,"1,189","1,381",122,490,136,409,924,"1,990",658,639,781,65,64,144,188
".Married, spouse absent",805,57,36,81,109,38,80,3,58,24,101,27,87,47,10,-,7,40
.Widowed,802,19,50,190,14,1,24,26,31,39,83,47,66,79,-,13,81,38
.Divorced,"3,483",402,353,525,201,62,150,14,156,162,412,162,333,263,17,8,67,195
.Separated,"1,246",302,100,162,65,20,38,3,36,34,140,60,132,71,3,6,33,42
.Never married,"12,779",317,"1,741","1,877","1,108",290,727,20,542,564,"1,780",609,"1,084",782,628,48,144,517
.Persons age 1-14,"8,895",451,787,"1,531",910,114,349,13,319,544,"1,589",568,747,604,19,7,55,286
NATIVITY,,,,,,,,,,,,,,,,,,0
 .Native,"33,023","2,003","3,387","4,785","3,174",428,"1,481",204,"1,267","1,914","5,227","1,808","2,573","2,331",635,123,519,"1,162"
 .Foreign born,"5,658",293,421,770,615,219,377,10,284,379,869,323,515,297,108,23,11,144
  ..Naturalized U.S. citizen,"1,161",78,115,167,120,24,45,8,39,111,213,68,69,66,5,8,6,19
  ..Not a US citizen,"4,497",215,306,603,495,195,332,2,245,268,656,255,446,231,104,15,6,125
TENURE,,,,,,,,,,,,,,,,,,0
.In an owner-occupied housing unit,"13,760",840,"1,123","1,916","1,319",173,418,165,488,"2,091","2,265",745,327,844,104,78,264,600
.In a renter-occupied housing unit,"24,228","1,429","2,643","3,489","2,339",452,"1,433",44,"1,013",198,"3,768","1,380","2,683","1,733",634,67,258,664
.In a no cash renter-occupied housing unit,693,27,41,151,131,22,7,5,50,3,63,5,79,50,6,1,9,44
POVERTY STATUS,,,,,,,,,,,,,,,,,,0
.Below 100% of poverty,"8,777",460,"1,142","1,493",465,167,330,14,425,198,"1,236",349,"1,018",637,308,10,130,396
.100% to 149% of poverty,"4,705",150,526,835,357,109,258,10,156,234,709,241,547,221,98,18,84,153
.150% of poverty and above,"25,198","1,686","2,140","3,227","2,967",372,"1,270",190,971,"1,861","4,151","1,541","1,524","1,770",337,117,316,758
Footnotes:,,,,,,,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2007 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
Internet Release Date: September 2008,,,,,,,,,,,,,,,,,,
