United States,Total,Change in marital status,To establish own household,Other family reason,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood /less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
MOVERS 1+ years,"35,681","1,742","3,966","4,797","3,471",745,"2,211",249,694,"2,004","5,629","1,054","3,356","4,578",177,31,129,846
SEX,,,,,,,,,,,,,,,,,,0
.Male,"17,736",827,"1,940","2,264","1,766",421,"1,212",132,332,"1,001","2,840",517,"1,693","2,233",94,14,64,387
.Female,"17,945",915,"2,026","2,533","1,705",324,999,117,362,"1,004","2,790",537,"1,664","2,345",83,17,66,457
AGE,,,,,,,,,,,,,,,,,,0
.Under 16 years,"8,269",336,742,"1,290",759,166,418,14,161,466,"1,600",327,819,947,1,-,26,198
.16 to 19 years,"1,732",80,163,362,130,35,69,3,19,85,279,41,131,261,19,-,8,48
.20 to 24 years,"5,404",182,922,583,497,120,508,2,72,215,698,111,534,679,110,7,14,151
.25 to 29 years,"4,989",208,745,448,634,97,396,7,135,270,750,159,420,584,32,2,6,98
.30 to 44 years,"8,297",532,808,948,931,204,544,17,188,553,"1,352",264,689,"1,053",14,3,20,178
.45 to 64 years,"5,515",362,492,819,492,106,256,100,117,365,737,125,592,749,1,11,32,157
.65 to 74 years,865,30,68,171,20,12,13,60,3,31,135,26,116,150,-,8,10,11
.75+ years,609,12,26,175,7,6,7,46,-,20,79,1,56,156,-,-,14,5
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,0
.White alone,"25,676","1,433","2,916","3,433","2,556",529,"1,491",216,526,"1,540","3,849",724,"2,313","3,216",139,31,121,642
.Black or African American alone,"6,198",184,721,973,436,139,359,23,83,218,"1,143",253,696,836,14,-,7,114
.Asian alone,"2,225",80,168,206,344,37,233,8,63,182,367,50,135,304,22,-,-,26
.All remaining single races and all race combinations/1,"1,582",45,162,185,134,40,129,2,23,64,270,27,213,223,1,-,2,64
".White alone, not Hispanic or Latino","19,686","1,140","2,173","2,570","2,064",372,"1,048",210,424,"1,279","2,922",528,"1,667","2,536",139,31,85,499
.Hispanic or Latino/2,"6,959",327,845,948,631,178,512,14,122,278,"1,089",215,788,816,1,-,36,159
.White alone or in combination with one or more other races,"26,641","1,468","2,986","3,547","2,636",559,"1,556",218,534,"1,592","3,985",748,"2,457","3,365",140,31,121,697
.Black or African American alone or in combination with one or more other races,"6,738",192,760,"1,029",479,155,399,23,87,235,"1,236",267,792,922,14,-,7,141
.Asian alone or in combination with one or more other races,"2,452",81,184,227,369,37,245,9,63,210,424,54,150,337,22,-,1,39
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,,,,,,,0
".Householder, spouse present","4,526",174,448,454,628,73,214,65,116,410,789,128,382,516,7,11,22,92
.Other family householder,"3,129",199,384,483,170,70,198,9,34,133,551,119,340,352,5,-,7,74
.Spouse of householder,"4,642",277,441,470,619,73,209,70,116,409,781,126,384,532,7,11,23,96
.Child of householder,"9,919",476,851,"1,518",930,243,500,21,222,548,"1,833",348,962,"1,178",19,-,36,235
.Other relative of householder,"2,612",96,180,786,123,77,119,15,27,113,320,42,275,309,6,2,27,95
.Nonrelative of householder,"4,730",159,692,562,363,103,412,7,81,162,654,148,450,707,76,-,7,147
.Nonfamily householder,"6,072",361,972,525,631,107,559,62,100,230,701,142,554,951,57,7,8,106
.Secondary individual in group quarters,50,-,-,-,6,-,-,-,-,-,-,-,9,35,-,-,-,0
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,0
.Not a high school graduate,"2,468",135,222,413,151,79,150,14,33,75,418,59,290,338,-,-,26,64
.High school graduate,"5,390",343,599,815,358,120,249,80,81,278,755,143,601,766,2,6,31,164
.Some college or AA degree,"5,649",324,615,697,513,93,365,77,135,350,817,189,587,746,2,9,21,108
.Bachelor's degree,"4,368",223,509,415,568,82,302,43,140,323,682,136,277,545,38,5,5,75
.Prof. or graduate degree,"2,401",119,194,222,495,50,150,17,54,213,380,47,118,296,4,4,-,38
.Persons age 1-24,"15,406",598,"1,827","2,235","1,387",321,996,18,251,766,"2,577",479,"1,484","1,886",130,7,48,396
MARITAL STATUS,,,,,,,,,,,,,,,,,,0
".Married, spouse present","9,629",472,925,"1,045","1,278",157,443,141,237,840,"1,623",255,830,"1,102",16,22,49,196
".Married, spouse absent",519,46,38,77,75,18,36,4,5,9,64,4,59,61,3,4,-,15
.Widowed,753,36,62,213,26,9,24,29,-,29,79,16,80,121,-,-,12,17
.Divorced,"3,097",349,325,458,205,59,176,41,58,154,374,89,285,434,3,-,11,78
.Separated,"1,013",210,80,144,30,20,54,7,7,22,86,26,140,135,26,-,-,25
.Never married,"12,788",312,"1,810","1,650","1,122",321,"1,076",14,236,520,"1,867",343,"1,183","1,839",128,5,31,333
.Persons age 1-14,"7,881",317,727,"1,211",735,162,402,14,151,430,"1,537",320,780,887,1,-,26,181
NATIVITY,,,,,,,,,,,,,,,,,,0
 .Native,"30,631","1,507","3,467","4,233","2,838",631,"1,855",243,558,"1,740","4,821",913,"2,850","3,912",155,28,112,768
 .Foreign born,"5,050",235,500,564,632,114,356,6,137,265,808,141,506,666,21,3,17,78
  ..Naturalized U.S. citizen,"1,512",65,154,165,172,21,94,4,37,102,295,40,156,160,-,3,10,34
  ..Not a U.S. citizen,"3,538",170,346,399,461,93,263,1,100,162,514,101,350,506,21,-,7,43
TENURE,,,,,,,,,,,,,,,,,,0
.In an owner-occupied housing unit,"10,345",573,"1,359","1,556",821,94,345,109,195,"1,761","1,493",236,486,"1,055",16,14,35,195
.In a renter-occupied housing unit,"24,779","1,134","2,559","3,167","2,557",646,"1,846",136,476,238,"4,104",817,"2,786","3,421",160,17,88,626
.In a no cash renter-occupied housing unit,557,35,48,74,92,5,20,3,23,5,32,-,84,103,-,-,6,26
POVERTY STATUS,,,,,,,,,,,,,,,,,,0
.Below 100% of poverty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
.100% to 149% of poverty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
.150% of poverty and above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
