Selected Characteristics,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 16+ years,49,341,77,48,322,170,138,261,262,45,119,237
,,,,,,,,,,,,
.Without income,6,34,7,13,40,17,8,18,23,2,9,38
".Under $10,000 or loss",10,53,16,1,74,34,36,58,69,11,31,40
".$10,000 to $19,999",3,67,18,6,63,39,24,62,41,3,19,42
".$20,000 to $29,999",3,51,7,8,56,24,24,33,34,6,8,31
".$30,000 to $39,999",8,30,7,4,33,18,9,39,26,3,27,19
".$40,000 to $49,999",7,31,2,1,15,7,3,27,10,6,4,20
".$50,000 to $59,999",3,25,4,2,11,2,12,1,24,4,7,17
".$60,000 to $74,999",2,13,4,7,12,12,11,11,8,2,10,9
".$75,000 and over",7,36,13,7,18,17,10,12,27,6,6,21
,,,,,,,,,,,,
Employed (civilian),30,198,50,31,207,123,70,136,154,27,81,132
Unemployed,6,41,8,5,26,12,20,21,13,6,6,18
Armed Forces/1,1,3,2,-,6,1,4,7,13,-,-,9
Not in labor force,13,98,18,12,83,34,45,97,82,12,32,79
,,,,,,,,,,,,
"Management, business, and financial",8,48,4,8,27,12,25,21,28,5,15,16
Professional,14,26,18,12,45,27,11,41,40,12,13,43
Service,3,35,8,3,18,27,10,35,25,-,12,10
Sales,2,23,15,-,39,16,9,8,16,3,11,25
Office and administrative support,3,22,-,4,19,15,12,10,20,4,14,12
"Farming, fishing, and forestry",-,-,-,-,3,-,-,-,1,-,-,-
Construction and extraction ,-,9,2,3,9,8,-,8,8,3,5,7
"Installation, maintenance, and repair",-,13,-,-,14,2,-,8,2,-,1,8
Production,-,14,1,-,21,9,2,2,3,-,7,2
Transportation and material moving,-,10,1,-,12,7,2,4,12,-,3,8
Not employed civilian,19,143,28,16,114,48,69,125,108,18,38,105
,,,,,,,,,,,,
"Agricultural, forestry, fishing, and hunting ",-,-,-,-,3,-,-,-,1,-,-,-
Mining,-,-,-,-,1,-,-,-,1,-,-,-
Construction,2,19,2,6,12,12,-,12,12,3,8,9
Manufacturing,-,16,7,3,33,3,13,17,22,-,6,10
Wholesale and retail trade,4,39,11,1,30,20,6,6,21,3,14,20
Transportation and utilities,3,6,1,-,13,6,-,10,7,4,4,7
Information,2,4,2,-,6,5,3,14,10,3,1,4
Financial activities,2,28,-,1,19,8,12,4,16,-,7,9
Professional and business services,2,31,10,14,14,12,21,11,19,7,12,18
Educational and health services,14,23,8,3,47,30,4,29,25,6,14,25
Leisure and hospitality,2,20,7,3,18,22,7,19,15,1,11,5
Other services,-,9,1,-,12,3,3,11,4,-,2,15
Public administration,-,2,-,-,-,2,-,2,2,-,1,11
Not employed civilian,19,143,28,16,114,48,69,125,108,18,38,105
