Table with row headers in column A and column headers in rows 7 through 8.,,,,,,,,,,,,
"Table 12.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2014 to 2015",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 1+ years,55,315,134,47,326,202,258,255,226,98,152,370
,,,,,,,,,,,,
SEX,,,,,,,,,,,,
.Male,22,162,70,25,177,87,134,124,119,54,67,208
.Female,33,153,64,23,149,115,123,131,108,44,85,162
AGE,,,,,,,,,,,,
.1 to 4 years,4,19,8,2,11,11,32,21,8,10,18,22
.5 to 9 years,3,17,5,1,10,18,22,20,13,2,10,22
.10 to 14 years,2,14,2,2,37,5,10,12,8,-,17,23
.15 to 19 years,2,20,6,1,20,5,6,8,10,5,11,31
.20 to 24 years,17,51,12,9,25,36,20,36,39,19,15,47
.25 to 29 years,7,41,23,9,27,45,42,55,28,21,16,44
.30 to 44 years,17,48,44,7,87,52,82,62,56,15,39,111
.45 to 64 years,2,74,25,17,76,20,32,30,41,7,23,43
.65 to 74 years,-,7,7,-,27,7,12,9,16,13,-,13
.75+ years,-,24,2,-,6,3,1,3,7,6,3,14
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,
.White alone,39,257,113,20,225,164,157,186,194,95,123,296
.Black or African American alone,14,53,-,13,69,5,66,38,5,-,16,50
.Asian alone,2,4,18,13,18,27,29,18,14,3,7,10
.All remaining single races and all race combinations/1,-,-,3,1,14,6,6,13,14,-,7,15
".White alone, not Hispanic or Latino",39,237,105,20,204,152,147,186,165,80,103,231
.Hispanic or Latino/2,-,23,9,-,21,13,32,-,32,15,19,77
.White alone or in combination with one or more other races,39,257,114,21,234,168,162,197,203,95,127,297
.Black or African American alone or in combination with one or more other races,14,53,-,15,69,5,72,48,8,-,16,51
.Asian alone or in combination with one or more other races,2,4,20,13,18,27,29,18,22,3,11,11
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,
".Householder, spouse present",9,48,25,10,49,38,35,23,46,10,18,49
.Other family householder,3,28,4,1,25,10,23,27,12,6,14,28
.Spouse of householder,9,45,28,14,49,40,36,23,45,7,15,50
.Child of householder,16,58,20,5,80,37,69,71,41,19,61,97
.Other relative of householder,-,22,4,1,20,11,16,24,14,6,10,27
.Nonrelative of householder,7,42,15,9,35,29,25,32,32,31,19,56
.Nonfamily householder,12,71,39,7,67,37,54,56,36,17,15,60
.Secondary individual in group quarters,-,-,-,-,-,-,-,-,-,-,-,2
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
.Not a high school graduate,-,13,8,1,8,4,9,8,2,-,8,19
.High school graduate,1,51,8,7,58,15,58,30,41,7,10,46
.Some college or AA degree,1,36,30,10,75,27,36,57,47,9,19,79
.Bachelor's degree,5,48,21,8,53,45,30,37,24,30,35,56
.Prof. or graduate degree,19,46,35,6,29,36,36,27,34,16,10,25
.Persons aged 1 to 24,29,121,33,15,103,75,90,97,79,35,72,144
MARITAL STATUS,,,,,,,,,,,,
".Married, spouse present",18,95,52,25,98,78,75,47,96,17,36,115
".Married, spouse absent",-,10,-,1,12,4,7,4,6,7,1,-
.Widowed,-,8,3,-,6,7,-,5,7,3,3,3
.Divorced,1,33,10,-,56,16,16,24,17,15,9,49
.Separated,-,9,6,1,5,1,2,11,4,-,-,16
.Never married,26,110,48,16,91,63,94,112,67,43,57,121
.Persons aged 1 to 14,10,50,15,5,59,34,64,52,29,12,46,67
NATIVITY,,,,,,,,,,,,
 .Native,49,282,107,37,295,181,230,236,195,94,135,323
 .Foreign born,6,33,27,10,30,21,28,19,32,3,17,47
  ..Naturalized U.S. citizen,-,8,13,1,6,5,9,1,6,3,11,18
  ..Not a U.S. citizen,6,25,13,9,24,16,19,18,26,-,6,29
TENURE,,,,,,,,,,,,
.In an owner-occupied housing unit,17,137,43,10,116,49,65,70,57,32,60,138
.In a renter-occupied housing unit,38,177,91,37,210,153,193,185,169,66,92,232
POVERTY STATUS,,,,,,,,,,,,
.Below 100% of poverty,-,75,18,4,79,28,70,49,47,19,39,101
.100% to 149% of poverty,4,30,5,5,35,17,21,31,24,1,27,22
.150% of poverty and above,52,210,112,39,212,158,167,175,156,78,86,247
,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,
