United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,66,215,100,45,231,147,167,219,201,93,161,267
INCOME IN 2013,,,,,,,,,,,,
.Without income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".Under $10,000 or loss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".$10,000 to $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".$20,000 to $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".$30,000 to $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".$40,000 to $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".$50,000 to $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".$60,000 to $74,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".$75,000 and over",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),39,75,73,29,124,92,90,134,110,55,92,168
.Unemployed,8,21,6,2,16,16,14,20,18,19,14,13
.Armed Forces/1,-,13,2,-,3,6,-,1,21,2,-,19
.Not in labor force,18,107,19,14,88,34,62,65,52,17,55,67
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",5,15,11,10,17,17,24,13,22,10,11,27
.Professional,23,11,22,9,26,35,19,38,36,21,24,31
.Service,4,7,13,3,22,8,12,26,9,9,17,29
.Sales,1,12,3,1,11,12,20,12,15,4,15,19
.Office and administrative support,3,11,10,5,20,10,3,17,19,8,10,25
".Farming, fishing, and forestry",-,-,3,-,3,-,-,-,-,-,1,7
.Construction and extraction ,-,-,5,-,6,3,2,4,3,1,4,10
".Installation, maintenance, and repair",-,7,1,-,7,5,3,9,1,1,1,-
.Production,-,4,4,-,8,-,3,11,-,-,4,6
.Transportation and material moving,2,7,-,-,4,4,4,5,5,-,4,14
.Armed Forces or not employed civilian/1,27,140,28,16,107,55,77,85,91,38,69,99
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,-,3,-,3,-,-,1,-,-,2,7
.Mining,-,-,-,-,1,-,-,1,1,-,2,3
.Construction,-,5,5,-,13,7,2,8,2,-,3,12
.Manufacturing,5,6,8,2,7,12,5,18,5,10,11,8
.Wholesale and retail trade,1,19,5,4,13,12,14,20,21,1,27,30
.Transportation and utilities,-,4,6,5,1,-,10,7,4,-,5,7
.Information,-,-,9,-,-,2,10,-,13,-,2,-
.Financial activities,-,4,3,-,7,8,7,3,4,10,1,9
.Professional and business services,5,10,10,2,35,14,10,18,21,9,14,22
.Educational and health services,24,10,10,15,16,32,13,36,16,13,14,25
.Leisure and hospitality,4,1,5,-,12,4,17,12,14,9,8,24
.Other services,-,3,-,-,6,-,-,4,2,2,2,11
.Public administration,-,12,7,-,11,1,-,7,6,1,2,10
.Armed Forces or not employed civilian/1,27,140,28,16,107,55,77,85,91,38,69,99
