United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,44,222,102,50,282,197,133,279,179,53,144,234
INCOME IN 2008,,,,,,,,,,,,
.Without income,5,39,7,7,26,25,14,44,23,3,18,35
".Under $10,000 or loss",8,32,18,9,53,37,30,64,51,6,30,44
".$10,000 to $19,999",10,25,18,3,62,35,20,54,27,5,29,39
".$20,000 to $29,999",3,41,14,4,39,29,9,24,23,14,27,29
".$30,000 to $39,999",5,28,3,1,25,21,6,26,19,11,9,21
".$40,000 to $49,999",1,9,7,4,20,8,12,23,7,-,5,18
".$50,000 to $59,999",-,11,17,5,16,8,2,13,7,5,11,25
".$60,000 to $74,999",7,18,2,3,8,5,11,13,6,-,11,4
".$75,000 and over",4,19,17,14,33,28,28,18,16,10,5,20
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),22,113,72,36,174,105,60,135,79,37,70,117
.Unemployed,11,43,9,1,21,22,19,35,24,2,23,39
.Armed Forces/1,-,8,-,-,4,5,3,9,13,2,5,10
.Not in labor force,11,58,20,14,84,65,52,99,63,13,46,68
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",7,24,17,11,37,12,16,21,16,1,4,19
.Professional,8,33,27,11,44,35,18,38,12,16,19,36
.Service,4,19,16,4,37,10,10,19,23,10,8,15
.Sales,2,11,3,3,21,13,7,16,2,3,11,18
.Office and administrative support,2,13,3,3,8,19,3,17,8,3,7,11
".Farming, fishing, and forestry",-,-,-,-,-,-,-,-,-,-,-,-
.Construction and extraction ,-,-,1,2,6,1,3,-,8,3,11,4
".Installation, maintenance, and repair",-,1,-,-,9,2,-,6,5,-,6,3
.Production,-,3,5,-,8,3,1,11,3,1,2,9
.Transportation and material moving,-,8,-,2,5,11,2,8,2,-,2,2
.Not employed civilian,22,109,30,14,108,92,73,143,100,17,74,117
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,-,1,-,-,-,-,2,1,-,-,-
.Mining,-,-,-,-,2,1,-,-,1,-,-,-
.Construction,-,5,1,-,7,4,4,-,4,3,15,8
.Manufacturing,-,6,7,4,16,15,6,17,9,1,3,18
.Wholesale and retail trade,2,25,2,2,19,15,11,28,6,1,14,23
.Transportation and utilities,-,11,-,2,7,11,3,9,2,-,3,2
.Information,-,-,8,-,5,5,-,2,-,-,2,1
.Financial activities,2,4,8,8,9,1,6,3,3,1,5,5
.Professional and business services,7,26,14,8,28,16,6,11,13,7,3,19
.Educational and health services,7,17,21,12,43,24,14,34,8,16,17,15
.Leisure and hospitality,3,8,8,1,37,10,7,21,18,8,5,15
.Other services,2,5,4,-,-,1,1,6,9,-,3,7
.Public administration,-,6,-,-,2,2,1,1,5,-,-,5
.Not employed civilian,22,109,30,14,108,92,73,143,100,17,74,117
