Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table 13.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2009 to 2010",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 1+ years,45,241,90,53,324,259,153,263,282,40,106,332
,,,,,,,,,,,,
SEX,,,,,,,,,,,,
.Male,23,115,46,25,163,123,78,124,134,20,50,155
.Female,22,126,44,28,162,136,74,139,148,20,56,177
AGE,,,,,,,,,,,,
.1 to 4 years,1,4,7,2,28,30,8,27,31,3,7,35
.5 to 9 years,5,28,8,6,34,14,11,15,23,3,4,17
.10 to 14 years,5,9,5,4,23,15,9,23,9,-,2,21
.15 to 19 years,-,4,12,-,20,23,9,16,8,1,7,15
.20 to 24 years,3,6,5,8,30,67,29,33,48,6,19,55
.25 to 29 years,10,48,14,13,41,51,19,24,40,3,26,42
.30 to 44 years,9,47,32,16,59,40,35,66,79,9,22,87
.45 to 64 years,10,68,7,3,74,14,27,46,31,5,14,42
.65 to 74 years,2,22,-,-,8,4,-,5,7,9,-,14
.75+ years,-,4,-,-,7,2,5,9,6,1,4,3
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,
.White alone,17,190,73,43,239,190,114,217,224,35,67,297
.Black or African American alone,19,31,7,4,69,33,12,30,17,2,20,10
.Asian alone,7,19,10,3,9,12,7,9,26,1,11,3
.All remaining single races and all race combinations/1,1,2,-,3,8,25,19,7,15,3,8,22
".White alone, not Hispanic or Latino",17,175,62,42,217,168,105,181,166,31,50,245
.Hispanic or Latino/2,-,15,11,1,25,27,11,40,62,4,18,55
.White alone or in combination with one or more other races,19,192,73,46,242,192,128,222,230,37,73,314
.Black or African American alone or in combination with one or more other races,21,33,7,4,73,33,25,32,19,2,25,15
.Asian alone or in combination with one or more other races,7,19,10,6,9,12,7,9,30,3,12,4
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,
".Householder, spouse present",1,46,15,6,45,38,23,31,49,4,15,62
.Other family householder,10,8,4,-,33,10,5,22,6,2,6,24
.Spouse of householder,3,43,14,6,42,39,23,33,47,7,15,59
.Child of householder,9,43,27,9,118,81,38,77,70,7,22,81
.Other relative of householder,8,18,4,-,25,15,12,50,33,3,9,32
.Nonrelative of householder,5,26,15,14,26,40,22,19,34,3,16,30
.Nonfamily householder,8,57,12,17,36,35,29,32,42,14,23,43
.Secondary individual in group quarters,-,-,-,-,-,-,-,-,-,-,-,-
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
.Not a high school graduate,2,21,4,2,7,13,4,17,8,-,8,15
.High school graduate,8,47,10,3,47,13,34,56,33,6,12,49
.Some college or AA degree,5,25,12,3,39,38,23,22,43,6,19,48
.Bachelor's degree,9,52,14,16,67,35,17,30,54,10,23,43
.Prof. or graduate degree,6,44,12,8,30,12,9,23,25,4,5,33
.Persons age 1-24,15,51,38,21,135,149,66,113,119,13,39,143
MARITAL STATUS,,,,,,,,,,,,
".Married, spouse present",5,93,28,12,90,78,46,76,101,12,30,121
".Married, spouse absent",-,8,2,1,7,3,1,4,6,1,5,14
.Widowed,-,10,-,-,11,2,2,14,8,-,2,4
.Divorced,2,25,5,9,31,5,16,33,30,4,16,32
.Separated,4,3,-,-,8,3,1,8,5,4,2,5
.Never married,23,62,34,20,92,110,57,62,70,12,38,83
.Persons age 1-14,12,41,21,12,85,59,28,65,62,6,13,73
NATIVITY,,,,,,,,,,,,
 .Native,44,207,76,41,290,226,142,246,245,36,83,297
 .Foreign born,1,34,15,12,34,33,11,17,37,4,23,35
  ..Naturalized U.S. citizen,-,8,1,-,17,2,3,5,17,-,5,14
  ..Not a U.S. citizen,1,26,14,12,17,31,8,12,20,4,18,21
TENURE,,,,,,,,,,,,
.In an owner-occupied housing unit,10,101,16,18,127,93,51,99,49,12,29,156
.In a renter-occupied housing unit,35,138,73,35,193,164,99,138,232,28,75,175
.In a no cash renter-occupied housing unit,-,2,1,-,5,2,3,26,1,-,2,-
POVERTY STATUS,,,,,,,,,,,,
.Below 100% of poverty,19,32,23,12,65,78,33,48,69,13,32,82
.100% to 149% of poverty,3,29,-,2,11,41,9,44,33,3,3,27
.150% of poverty and above,23,179,67,40,248,140,111,171,181,24,70,223
Footnotes:,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2010 Annual Social and Economic Supplement",,,,,,,,,,,,
Internet Release Date: May 2011,,,,,,,,,,,,
