All Races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 16+ years,64,386,85,67,319,215,179,225,244,99,120,296
,,,,,,,,,,,,
.Without income,6,26,2,9,30,25,14,30,29,8,14,26
".Under $10,000 or loss",8,97,24,8,67,50,37,51,72,24,24,53
".$10,000 to $19,999",8,67,23,7,62,37,34,69,36,20,29,74
".$20,000 to $29,999",6,63,7,7,44,30,22,13,40,7,20,31
".$30,000 to $39,999",3,33,14,4,34,19,27,23,21,13,14,29
".$40,000 to $49,999",7,36,5,6,20,11,20,8,6,2,3,31
".$50,000 to $59,999",5,24,3,9,19,13,4,7,10,5,7,12
".$60,000 to $74,999",10,15,-,2,17,4,6,5,8,7,3,16
".$75,000 and over",9,25,8,13,25,25,16,19,23,11,6,23
,,,,,,,,,,,,
NIU (Under 16 years old),-,9,4,-,5,2,5,5,18,2,-,19
Employed,40,261,61,47,154,133,98,119,132,71,51,183
Unemployed,3,41,13,1,24,23,18,19,24,6,14,24
Not in labor force,21,75,6,18,136,56,58,82,70,20,54,70
,,,,,,,,,,,,
"Executive, administrators, and managerial",17,57,13,17,25,17,16,30,14,12,6,26
Professional specialty,10,57,9,9,42,23,35,18,38,11,11,46
Technical and related support,-,11,4,-,17,2,2,-,4,7,1,5
Sales,5,40,16,6,23,10,6,13,13,8,4,30
"Administrative support, inc. clerical",-,21,2,2,13,22,11,11,12,17,7,20
Private household service,-,-,-,-,-,3,-,-,4,-,-,-
Protective service,-,7,-,-,3,-,-,-,1,-,-,2
Other service,4,24,12,6,11,17,11,16,27,13,11,29
"Precision production, craft, & repair",3,16,1,2,9,16,6,15,7,1,2,15
"Machine operators, assemblers, and inspectors",-,3,1,-,2,7,2,8,1,-,1,2
Transportation and material moving,-,5,2,1,7,5,4,3,4,1,2,3
"Handlers, equipment cleaners, helpers, and laborers",-,10,-,3,-,6,5,5,6,-,2,-
"Farming, forestry, and fishing",-,10,2,2,3,6,-,-,-,-,3,4
Not employed civilian,24,125,24,19,164,81,81,106,112,28,69,113
,,,,,,,,,,,,
"Agricultural, forestry, fisheries",-,8,-,3,6,6,-,-,-,-,3,2
Mining,-,-,-,-,-,1,-,-,3,2,-,-
Construction,3,11,-,3,2,13,2,8,10,3,2,12
Manufacturing,2,17,8,8,10,10,5,31,10,5,3,14
Wholesale trade,1,7,-,2,3,6,9,5,6,3,2,4
"Transp, commun, other public util",-,15,2,3,6,3,4,5,2,-,-,4
Retail trade,9,40,16,9,38,26,17,24,22,16,11,48
"Finance, insur, and real estate",6,21,9,5,10,17,8,6,8,6,5,9
Personal services,1,25,2,-,9,10,6,5,14,-,3,5
Business and repair services,1,24,2,1,11,4,5,8,8,11,1,19
Entertainment/recreation services,-,4,-,-,3,3,2,2,3,-,-,6
Professional and related services,16,79,19,13,49,31,41,24,45,22,19,52
Public administration,-,11,2,-,8,2,-,1,2,3,-,9
Not employed civilian,24,125,24,19,164,81,81,106,112,28,69,113
