Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table 13.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2011 to 2012",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 1+ years,52,362,184,53,373,237,178,304,419,43,207,329
,,,,,,,,,,,,
SEX,,,,,,,,,,,,
.Male,27,177,80,31,202,119,79,173,200,28,108,151
.Female,25,184,104,22,171,118,99,132,218,15,98,178
AGE,,,,,,,,,,,,
.1 to 4 years,2,37,18,6,25,15,11,34,42,1,13,18
.5 to 9 years,2,30,11,2,23,20,12,18,31,5,11,23
.10 to 14 years,-,23,3,3,31,19,2,23,25,1,16,20
.15 to 19 years,5,16,15,5,35,11,12,6,17,-,16,13
.20 to 24 years,11,65,22,11,37,41,25,41,57,9,31,46
.25 to 29 years,5,43,18,4,61,37,34,45,78,7,27,27
.30 to 44 years,18,93,77,14,81,29,32,67,103,18,41,106
.45 to 64 years,5,45,15,6,63,51,46,41,51,1,50,59
.65 to 74 years,-,9,3,-,10,11,1,3,10,-,2,15
.75+ years,3,-,1,-,8,4,2,26,4,-,-,3
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,
.White alone,39,216,134,27,259,210,167,264,307,24,162,298
.Black or African American alone,5,122,6,18,53,1,2,27,45,3,-,4
.Asian alone,3,18,25,8,41,9,8,9,34,16,25,14
.All remaining single races and all race combinations/1,6,6,19,-,21,17,-,4,32,-,19,13
".White alone, not Hispanic or Latino",39,156,114,22,226,191,152,228,242,23,127,244
.Hispanic or Latino/2,-,76,34,4,33,19,15,36,77,1,41,54
.White alone or in combination with one or more other races,43,221,138,27,273,215,168,268,329,24,180,311
.Black or African American alone or in combination with one or more other races,8,128,6,18,59,2,2,27,56,3,9,4
.Asian alone or in combination with one or more other races,3,18,28,8,51,11,8,10,39,16,26,16
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,
".Householder, spouse present",4,38,36,6,50,36,35,48,67,7,30,78
.Other family householder,4,30,5,3,20,11,17,23,21,2,12,19
.Spouse of householder,7,46,39,6,52,36,37,47,65,6,28,79
.Child of householder,10,112,47,20,107,71,36,79,112,8,57,81
.Other relative of householder,-,14,10,3,16,11,4,33,31,-,16,14
.Nonrelative of householder,4,52,20,2,52,31,20,32,44,5,17,28
.Nonfamily householder,22,69,27,14,76,42,28,42,78,15,48,30
.Secondary individual in group quarters,1,-,-,-,-,-,-,-,-,-,-,-
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
.Not a high school graduate,3,16,16,-,14,10,5,21,19,1,14,15
.High school graduate,3,64,14,1,56,13,22,45,43,-,35,38
.Some college or AA degree,13,44,8,3,53,39,22,48,76,3,36,66
.Bachelor's degree,4,34,35,1,70,38,44,32,50,17,19,78
.Prof. or graduate degree,8,32,42,20,30,31,23,36,57,6,16,12
.Persons age 1-24,21,172,68,28,151,106,62,122,173,16,87,120
MARITAL STATUS,,,,,,,,,,,,
".Married, spouse present",11,91,78,11,101,82,73,102,132,13,59,160
".Married, spouse absent",1,5,6,-,18,4,3,12,6,3,4,8
.Widowed,3,3,1,-,13,7,-,13,7,-,4,7
.Divorced,1,19,11,4,17,11,12,20,38,1,26,29
.Separated,4,11,-,-,8,3,9,8,6,1,3,-
.Never married,27,142,55,26,137,76,56,74,131,19,71,65
.Persons age 1-14,5,90,32,11,79,54,25,76,98,7,40,61
NATIVITY,,,,,,,,,,,,
 .Native,44,296,143,37,336,220,160,261,354,28,179,284
 .Foreign born,9,66,40,16,37,16,17,43,65,15,28,45
  ..Naturalized U.S. citizen,2,17,11,8,24,14,5,4,21,2,20,23
  ..Not a U.S. citizen,7,49,29,8,13,2,12,39,43,13,8,22
TENURE,,,,,,,,,,,,
.In an owner-occupied housing unit,11,101,46,11,118,85,57,104,105,12,29,125
.In a renter-occupied housing unit,41,255,138,42,252,151,114,201,311,31,176,197
.In a no cash renter-occupied housing unit,-,6,-,-,4,-,7,-,3,-,3,8
POVERTY STATUS,,,,,,,,,,,,
.Below 100% of poverty,10,104,21,13,85,47,23,97,66,1,69,57
.100% to 149% of poverty,5,61,26,4,49,22,12,32,49,6,32,23
.150% of poverty and above,37,196,136,35,239,168,143,176,303,36,105,249
Footnotes:,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2012 Annual Social and Economic Supplement",,,,,,,,,,,,
Internet Release Date: December 2012,,,,,,,,,,,,
