Table with row headers in column A and column headers in rows 7 through 8.,,,,,,,,,,,,
"Table 13.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2013 to 2014",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 1+ years,72,268,129,60,324,182,199,287,269,116,205,349
,,,,,,,,,,,,
SEX,,,,,,,,,,,,
.Male,30,113,71,19,164,95,89,126,122,49,107,177
.Female,42,155,57,41,161,87,110,161,148,66,99,172
AGE,,,,,,,,,,,,
.1 to 4 years,-,19,13,4,30,6,16,24,37,15,20,41
.5 to 9 years,1,18,11,8,29,18,5,17,18,5,15,25
.10 to 14 years,4,11,4,2,27,9,10,19,12,2,7,10
.15 to 19 years,3,21,3,4,18,7,7,26,10,6,10,33
.20 to 24 years,19,22,4,10,35,15,25,43,43,5,31,65
.25 to 29 years,13,34,15,4,28,48,49,38,71,19,32,30
.30 to 44 years,10,55,47,17,66,46,52,63,41,49,38,100
.45 to 64 years,20,49,31,12,73,27,20,47,27,14,40,43
.65 to 74 years,2,27,-,-,18,6,7,5,9,-,9,2
.75+ years,-,12,-,-,2,-,8,3,3,-,3,-
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,
.White alone,58,210,94,55,234,154,140,177,233,104,155,260
.Black or African American alone,7,34,15,2,40,3,40,68,6,2,5,40
.Asian alone,6,19,15,-,22,11,19,20,18,1,32,29
.All remaining single races and all race combinations/1,-,5,5,2,29,14,-,22,12,9,13,19
".White alone, not Hispanic or Latino",49,141,90,45,213,146,129,155,193,76,147,194
.Hispanic or Latino/2,9,76,7,11,40,11,19,26,49,28,8,79
.White alone or in combination with one or more other races,58,215,97,58,262,167,140,190,238,111,162,269
.Black or African American alone or in combination with one or more other races,7,38,18,4,48,4,40,77,9,9,16,47
.Asian alone or in combination with one or more other races,6,19,17,-,22,22,19,26,20,1,32,30
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,
".Householder, spouse present",10,50,22,8,56,25,26,30,52,18,35,71
.Other family householder,-,18,5,6,40,8,6,32,15,3,9,21
.Spouse of householder,11,52,22,10,48,26,27,35,54,18,36,75
.Child of householder,10,59,39,15,96,45,38,94,76,28,64,110
.Other relative of householder,1,16,14,-,9,11,27,15,19,2,9,10
.Nonrelative of householder,21,22,5,5,30,28,37,37,19,25,13,22
.Nonfamily householder,19,52,21,16,46,39,38,44,34,15,39,39
.Secondary individual in group quarters,-,-,-,-,-,-,-,-,-,6,-,-
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
.Not a high school graduate,-,20,14,-,16,1,5,20,5,9,4,25
.High school graduate,6,33,13,4,52,30,47,31,23,11,33,29
.Some college or AA degree,10,56,23,1,61,36,21,47,51,21,35,43
.Bachelor's degree,8,42,24,18,38,33,36,43,38,24,39,35
.Prof. or graduate degree,21,25,19,10,19,29,27,17,33,17,12,43
.Persons age 1-24,27,91,36,27,139,54,63,130,119,33,83,174
MARITAL STATUS,,,,,,,,,,,,
".Married, spouse present",21,108,46,18,104,53,53,65,115,37,71,148
".Married, spouse absent",3,6,5,-,3,2,3,1,3,1,3,3
.Widowed,2,21,1,-,4,2,4,7,3,-,6,3
.Divorced,1,11,5,5,29,19,11,26,7,4,9,15
.Separated,-,13,2,1,5,9,8,4,1,1,9,6
