United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,76,336,82,52,245,132,133,192,206,45,172,239
INCOME IN 2006,,,,,,,,,,,,
.Without income,9,35,3,5,23,4,20,14,20,4,39,12
".Under $10,000 or loss",9,67,19,22,54,32,23,38,30,11,17,42
".$10,000 to $19,999",16,73,8,6,62,36,14,48,44,6,29,52
".$20,000 to $29,999",14,52,13,4,26,19,25,36,20,3,26,62
".$30,000 to $39,999",3,29,9,-,22,13,18,4,29,4,14,13
".$40,000 to $49,999",4,15,9,-,14,8,6,23,17,1,13,19
".$50,000 to $59,999",3,10,9,4,7,6,10,8,16,8,9,8
".$60,000 to $74,999",4,12,9,4,9,2,4,8,4,2,15,9
".$75,000 and over",15,44,5,8,29,12,12,13,26,6,10,22
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),49,191,64,34,137,81,66,102,125,29,107,176
.Unemployed,12,27,7,-,13,7,15,22,16,1,10,11
.Armed Forces/1,-,-,1,-,8,3,1,2,6,-,4,5
.Not in labor force,16,118,10,18,87,40,50,66,59,14,51,47
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",5,27,10,17,23,6,11,25,30,3,10,24
.Professional,23,58,14,4,41,30,32,19,19,10,31,42
.Service,5,26,14,5,22,8,6,16,19,6,21,40
.Sales,5,20,11,4,10,10,-,13,10,5,7,8
.Office and administrative support,5,24,5,2,10,14,8,20,21,5,14,29
".Farming, fishing, and forestry",1,-,-,-,-,-,-,-,-,-,-,-
.Construction and extraction ,-,16,1,1,3,2,1,3,13,1,8,27
".Installation, maintenance, and repair",-,3,-,-,10,-,-,-,1,-,-,-
.Production,5,5,3,-,14,7,7,3,5,-,11,6
.Transportation and material moving,-,10,6,3,5,4,1,4,7,-,5,-
.Not employed civilian,27,145,18,18,108,51,67,90,81,15,65,63
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,-,3,7,-,-,-,2,-,-,2,-
.Mining,-,2,-,-,-,1,-,-,1,-,-,-
.Construction,2,18,3,1,6,1,1,3,18,1,6,27
.Manufacturing,6,6,-,3,17,7,11,18,16,4,13,5
.Wholesale and retail trade,3,27,19,5,22,11,5,20,13,1,6,23
.Transportation and utilities,-,12,-,-,9,4,4,2,7,-,8,3
.Information,2,12,-,-,11,2,-,1,1,3,5,-
.Financial activities,6,6,2,-,3,4,5,9,4,2,5,17
.Professional and business services,17,31,10,7,12,9,11,13,19,3,16,27
.Educational and health services,11,35,13,6,25,31,22,14,12,5,23,27
.Leisure and hospitality,2,28,9,3,20,9,6,5,18,11,16,37
.Other services,-,12,4,3,6,2,-,8,3,-,2,3
.Public administration,-,3,1,-,6,-,1,9,13,-,6,7
.Not employed civilian,27,145,18,18,108,51,67,90,81,15,65,63
