United States,Total,Change in marital status,To establish own household,Other family reason,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood /less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
MOVERS 1+ years,"35,167","1,987","3,682","5,069","2,940",794,"2,183",140,"1,295","2,033","4,866","1,778","2,872","2,549",872,212,460,"1,434"
SEX,,,,,,,,,,,,,,,,,,0
.Male,"17,516",900,"1,803","2,390","1,566",511,"1,191",68,680,"1,025","2,363",848,"1,430","1,211",436,86,228,780
.Female,"17,651","1,088","1,879","2,679","1,374",283,992,72,615,"1,008","2,503",930,"1,442","1,339",436,126,232,654
AGE,,,,,,,,,,,,,,,,,,0
.Under 16 years,"8,009",418,738,"1,411",602,130,431,-,272,462,"1,289",466,636,682,39,57,45,332
.16 to 19 years,"1,960",71,257,353,83,53,104,4,57,59,259,87,153,152,131,3,18,116
.20 to 24 years,"5,642",229,976,647,479,120,384,5,159,277,641,223,462,329,417,16,25,253
.25 to 29 years,"5,285",309,695,603,560,98,375,-,197,375,683,235,414,311,145,12,35,238
.30 to 44 years,"8,023",570,679,"1,016",823,244,549,1,299,543,"1,153",448,655,532,118,47,82,265
.45 to 64 years,"4,886",323,298,711,361,129,273,72,232,284,730,240,454,398,22,57,119,183
.65 to 74 years,764,45,27,165,30,12,39,32,42,20,75,40,67,92,-,12,36,29
.75+ years,597,23,12,163,2,8,28,25,36,12,36,40,31,53,-,8,100,19
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,0
.White alone,"26,317","1,694","2,773","3,666","2,249",656,"1,554",127,960,"1,616","3,664","1,273","2,109","1,719",651,186,373,"1,047"
.Black or African American alone,"5,783",179,709,972,311,84,394,11,187,218,781,362,549,581,82,16,69,278
.Asian alone,"1,711",68,89,212,267,22,159,1,62,142,249,70,79,115,111,7,7,51
.All remaining single races and all race combinations/1,"1,355",45,110,218,114,32,76,1,86,57,172,73,135,135,28,3,11,58
".White alone, not Hispanic or Latino","20,365","1,453","2,112","2,854","1,929",356,"1,023",126,807,"1,262","2,848",918,"1,442","1,314",582,151,350,838
.Hispanic or Latino/2,"6,564",264,726,903,363,312,561,1,181,372,899,404,732,450,80,39,30,248
.White alone or in combination with one or more other races,"27,048","1,713","2,832","3,799","2,317",676,"1,589",128,994,"1,658","3,778","1,308","2,167","1,781",668,186,376,"1,078"
.Black or African American alone or in combination with one or more other races,"6,156",188,741,"1,047",336,86,407,11,221,246,842,378,566,622,90,16,70,290
.Asian alone or in combination with one or more other races,"1,816",69,94,223,278,22,167,1,68,150,267,72,85,120,124,7,7,59
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,,,,,,,0
".Householder, spouse present","4,304",214,361,490,527,88,269,41,166,410,724,249,304,275,21,36,43,87
.Other family householder,"2,951",231,399,473,114,37,160,2,125,113,445,172,303,230,30,15,34,69
.Spouse of householder,"4,467",346,361,518,527,85,264,41,164,411,726,252,305,268,18,36,44,101
.Child of householder,"9,347",530,779,"1,477",733,216,495,4,321,530,"1,516",531,789,759,117,65,88,396
.Other relative of householder,"2,782",130,196,749,86,99,109,10,64,111,276,154,170,261,27,9,97,234
.Nonrelative of householder,"4,935",176,598,689,339,178,328,1,121,170,507,160,490,369,305,11,41,454
.Nonfamily householder,"6,345",360,982,672,612,90,558,43,333,288,669,261,512,386,336,39,112,89
.Secondary individual in group quarters,35,-,5,-,3,-,-,-,-,-,4,-,-,-,19,-,-,4
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,0
.Not a high school graduate,"3,068",125,279,493,106,139,220,7,100,153,369,164,373,287,14,19,79,142
.High school graduate,"5,773",381,480,908,389,156,327,49,217,282,813,296,542,450,36,46,149,251
.Some college or AA degree,"5,157",365,492,727,434,124,319,16,188,337,717,269,461,342,67,41,65,191
.Bachelor's degree,"3,681",274,344,346,491,54,264,25,162,309,529,199,192,220,105,25,51,93
.Prof. or graduate degree,"1,876",124,115,185,357,19,134,33,139,154,249,74,52,87,64,5,27,56
.Persons age 1-24,"15,611",718,"1,971","2,411","1,163",302,918,9,488,799,"2,190",775,"1,251","1,164",587,75,89,700
MARITAL STATUS,,,,,,,,,,,,,,,,,,0
".Married, spouse present","9,293",594,754,"1,116","1,094",185,555,83,344,829,"1,493",528,651,591,41,72,97,267
".Married, spouse absent",656,47,51,111,61,49,44,-,29,6,60,18,81,40,18,3,13,23
.Widowed,730,42,30,176,31,4,26,11,34,28,87,39,54,45,2,21,81,18
.Divorced,"3,237",343,290,468,180,58,170,24,171,183,377,132,321,236,24,17,99,142
.Separated,"1,154",272,105,140,55,18,73,-,26,42,120,40,110,77,8,5,16,48
.Never married,"12,485",306,"1,748","1,730",940,359,895,21,435,494,"1,506",571,"1,054",906,743,39,116,621
.Persons age 1-14,"7,613",384,704,"1,328",578,121,419,-,255,451,"1,223",450,600,654,37,55,38,315
NATIVITY,,,,,,,,,,,,,,,,,,0
 .Native,"29,891","1,793","3,243","4,444","2,461",501,"1,716",131,"1,100","1,738","4,222","1,462","2,337","2,206",702,178,439,"1,218"
 .Foreign born,"5,275",195,439,625,478,293,467,9,195,295,645,316,535,343,170,34,21,216
  ..Naturalized U.S. citizen,"1,138",56,103,100,112,13,87,6,46,126,199,57,81,65,22,16,7,41
  ..Not a US citizen,"4,138",139,336,524,366,280,381,3,149,169,446,259,454,278,149,17,14,175
TENURE,,,,,,,,,,,,,,,,,,0
.In an owner-occupied housing unit,"11,157",724,"1,002","1,708",850,222,392,105,303,"1,775","1,586",394,463,571,141,97,217,608
.In a renter-occupied housing unit,"23,381","1,228","2,590","3,251","1,997",568,"1,775",35,962,237,"3,240","1,371","2,333","1,955",701,115,235,787
.In a no cash renter-occupied housing unit,628,35,90,110,93,4,15,-,29,22,41,12,75,23,30,-,8,40
POVERTY STATUS,,,,,,,,,,,,,,,,,,0
.Below 100% of poverty,"8,376",300,985,"1,485",424,242,430,19,267,224,"1,000",392,875,810,385,43,126,371
.100% to 149% of poverty,"4,435",234,557,610,258,138,303,15,130,173,590,262,488,341,91,26,59,161
.150% of poverty and above,"22,355","1,454","2,140","2,973","2,257",414,"1,450",107,898,"1,637","3,276","1,124","1,509","1,399",397,143,276,902
Footnotes:,,,,,,,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2008 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
Internet Release Date: April 2009 ,,,,,,,,,,,,,,,,,,
