Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table 13.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2008 to 2009",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 1+ years,56,284,112,52,346,237,178,385,247,67,192,315
,,,,,,,,,,,,
SEX,,,,,,,,,,,,
.Male,20,136,52,24,160,119,78,191,109,39,97,174
.Female,35,148,60,28,186,118,100,193,137,28,96,141
AGE,,,,,,,,,,,,
.1 to 4 years,5,25,2,1,37,12,14,37,24,7,19,41
.5 to 9 years,6,18,5,-,18,15,19,33,20,4,18,29
.10 to 14 years,2,15,3,-,6,13,12,30,17,2,10,12
.15 to 19 years,1,22,4,-,10,12,4,48,21,1,4,5
.20 to 24 years,7,35,11,14,50,26,27,37,40,6,24,34
.25 to 29 years,20,36,20,18,71,35,16,53,26,14,28,67
.30 to 44 years,10,66,38,7,75,56,37,99,46,22,51,78
.45 to 64 years,2,60,29,9,57,54,36,36,42,9,25,50
.65 to 74 years,3,6,-,-,10,6,14,8,5,1,9,-
.75+ years,-,-,-,3,13,7,-,5,5,-,2,-
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,
.White alone,38,241,92,38,259,198,130,326,204,61,142,225
.Black or African American alone,12,30,2,4,77,15,21,42,25,4,30,59
.Asian alone,5,7,8,7,9,17,18,5,7,2,6,18
.All remaining single races and all race combinations/1,2,6,10,3,-,8,9,11,11,-,14,14
".White alone, not Hispanic or Latino",28,184,56,38,220,185,124,268,147,49,124,176
.Hispanic or Latino/2,11,58,37,-,39,13,9,66,59,11,22,54
.White alone or in combination with one or more other races,39,247,93,38,260,198,138,338,214,61,150,238
.Black or African American alone or in combination with one or more other races,13,30,7,4,77,15,22,46,26,4,35,59
.Asian alone or in combination with one or more other races,5,7,8,7,10,17,25,5,14,2,7,23
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,
".Householder, spouse present",8,37,15,6,60,43,28,40,31,13,23,48
.Other family householder,5,10,4,-,17,9,12,35,14,1,13,20
.Spouse of householder,13,42,11,6,58,45,30,43,34,13,27,56
.Child of householder,17,56,14,1,76,52,58,132,67,14,65,92
.Other relative of householder,1,38,18,9,37,21,19,52,41,11,20,35
.Nonrelative of householder,3,52,25,4,27,27,8,38,27,6,20,34
.Nonfamily householder,8,49,22,25,73,41,23,45,33,8,23,31
.Secondary individual in group quarters,-,-,2,-,-,-,-,-,-,-,-,-
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
.Not a high school graduate,3,23,10,-,23,5,6,17,17,3,12,5
.High school graduate,3,52,4,3,51,34,21,59,19,13,43,56
.Some college or AA degree,16,49,19,6,34,68,26,67,46,3,26,45
.Bachelor's degree,9,24,35,16,54,35,28,28,18,14,26,73
.Prof. or graduate degree,6,21,19,11,64,17,22,31,23,13,9,17
.Persons age 1-24,20,115,24,15,120,78,75,184,123,21,76,120
MARITAL STATUS,,,,,,,,,,,,
".Married, spouse present",21,89,26,13,120,92,67,88,73,28,52,113
".Married, spouse absent",-,11,4,3,5,4,6,3,4,3,6,9
.Widowed,-,2,-,-,7,1,4,8,5,-,3,7
.Divorced,3,30,9,3,35,40,10,43,27,4,32,27
.Separated,-,5,6,-,6,3,4,14,5,1,3,6
.Never married,20,90,57,30,113,56,41,130,70,18,48,72
.Persons age 1-14,12,58,9,1,61,40,44,99,62,14,48,82
NATIVITY,,,,,,,,,,,,
 .Native,47,230,80,45,308,212,145,343,216,61,183,294
 .Foreign born,9,54,31,7,38,25,32,42,31,6,9,22
  ..Naturalized U.S. citizen,4,16,14,-,22,9,7,6,9,1,2,8
  ..Not a U.S. citizen,5,37,18,7,16,15,26,36,21,5,7,14
TENURE,,,,,,,,,,,,
.In an owner-occupied housing unit,19,108,32,13,138,76,100,108,66,20,84,124
.In a renter-occupied housing unit,36,175,79,38,207,151,76,269,179,47,105,174
.In a no cash renter-occupied housing unit,-,-,-,-,1,9,2,7,2,-,3,18
POVERTY STATUS,,,,,,,,,,,,
.Below 100% of poverty,6,66,26,15,65,35,17,136,44,2,38,27
.100% to 149% of poverty,7,30,-,-,34,16,7,45,31,9,25,46
.150% of poverty and above,43,188,85,36,247,186,154,203,172,57,129,242
Footnotes:,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2009 Annual Social and Economic Supplement",,,,,,,,,,,,
Internet Release Date: May 2010,,,,,,,,,,,,
