United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,33,200,69,41,234,196,124,197,220,33,93,258
INCOME IN 2009,,,,,,,,,,,,
.Without income,2,11,10,2,38,31,17,31,32,5,6,48
".Under $10,000 or loss",11,41,13,4,38,44,24,38,45,5,29,34
".$10,000 to $19,999",11,44,4,5,49,38,20,40,45,9,20,34
".$20,000 to $29,999",1,20,11,8,13,26,12,29,41,2,6,38
".$30,000 to $39,999",4,17,8,5,19,17,15,13,15,4,14,45
".$40,000 to $49,999",5,13,7,4,13,11,10,23,9,1,7,25
".$50,000 to $59,999",-,7,5,3,17,16,4,5,6,1,7,14
".$60,000 to $74,999",-,25,-,6,15,3,14,5,11,4,2,6
".$75,000 and over",-,22,10,4,31,10,8,13,15,3,2,13
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),19,116,41,25,103,119,64,84,120,14,47,148
.Unemployed,4,13,12,2,39,21,15,21,17,5,7,32
.Armed Forces/1,-,5,4,-,7,5,-,8,23,-,2,8
.Not in labor force,10,65,13,14,84,51,45,84,59,14,36,71
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",2,13,12,1,15,8,12,11,23,3,3,17
.Professional,5,41,6,9,41,47,12,25,37,5,14,38
.Service,5,20,6,5,19,34,19,18,22,2,12,27
.Sales,5,18,5,5,9,10,5,8,10,-,1,20
.Office and administrative support,3,7,6,1,9,17,3,4,15,3,12,17
".Farming, fishing, and forestry",-,-,-,-,-,-,-,-,1,-,-,3
.Construction and extraction ,-,8,-,-,4,2,6,-,4,-,2,4
".Installation, maintenance, and repair",-,2,2,5,1,-,-,-,2,1,-,10
.Production,-,5,-,-,4,-,2,5,4,-,-,8
.Transportation and material moving,-,3,4,-,-,-,5,13,2,-,3,4
.Not employed civilian,14,83,28,16,130,77,60,113,100,19,46,111
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,-,-,-,-,1,-,-,-,-,-,3
.Mining,-,-,-,-,-,-,-,-,-,-,-,3
.Construction,-,10,2,-,4,2,4,-,8,-,2,6
.Manufacturing,2,5,-,5,14,12,5,13,14,-,-,14
.Wholesale and retail trade,4,22,10,5,7,11,5,17,18,-,3,15
.Transportation and utilities,-,3,4,-,-,4,3,6,3,-,-,6
.Information,-,-,2,2,5,2,2,-,3,-,-,-
.Financial activities,-,8,-,-,6,3,9,4,17,-,4,11
.Professional and business services,3,10,11,-,13,11,5,11,18,3,14,22
.Educational and health services,7,37,4,4,32,31,14,19,20,8,10,30
.Leisure and hospitality,1,15,6,4,10,35,12,5,13,-,6,21
.Other services,2,2,2,6,5,2,3,4,2,1,5,10
.Public administration,-,4,1,-,8,5,2,5,4,1,2,7
.Not employed civilian,14,83,28,16,130,77,60,113,100,19,46,111
