United States,Total,Change in marital status,To establish own household,Other family reason,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood /less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
MOVERS 1+ years,"37,105","1,993","3,514","4,266","3,244","1,005","1,872",148,385,"2,031","5,387","1,871","4,125","3,610",955,196,592,"1,909"
SEX,,,,,,,,,,,,,,,,,,0
.Male,"18,655",948,"1,670","2,150","1,735",616,964,78,192,"1,035","2,673",901,"2,059","1,810",461,105,264,997
.Female,"18,450","1,045","1,845","2,116","1,510",389,908,71,193,997,"2,714",970,"2,067","1,800",494,91,328,912
AGE,,,,,,,,,,,,,,,,,,0
.Under 16 years,"8,792",398,801,"1,125",728,178,353,4,73,497,"1,501",543,"1,108",872,51,35,111,414
.16 to 19 years,"2,246",105,269,331,149,67,77,4,31,90,291,82,215,243,121,11,24,137
.20 to 24 years,"5,660",274,847,504,456,148,364,-,53,234,685,236,535,421,534,19,25,325
.25 to 29 years,"5,458",310,570,540,591,202,365,2,81,356,674,238,600,430,157,18,42,280
.30 to 44 years,"8,483",533,656,815,951,278,445,10,85,565,"1,398",425,912,796,62,50,69,434
.45 to 64 years,"5,190",333,327,658,347,129,256,39,58,269,731,296,597,657,23,52,162,255
.65 to 74 years,705,29,30,135,18,1,6,38,3,15,65,35,107,112,7,2,51,49
.75+ years,571,10,15,157,4,2,7,51,1,5,43,16,52,80,-,8,107,14
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,0
.White alone,"27,386","1,633","2,550","2,961","2,495",769,"1,267",128,317,"1,502","3,993","1,228","3,150","2,747",679,164,438,"1,364"
.Black or African American alone,"6,260",219,724,879,308,144,355,18,31,262,930,464,695,594,115,21,129,370
.Asian alone,"1,821",68,70,190,319,42,161,1,26,175,226,81,109,131,134,6,11,73
.All remaining single races and all race combinations/1,"1,637",73,171,236,123,49,88,1,11,93,238,98,172,137,28,6,13,102
".White alone, not Hispanic or Latino","20,777","1,370","1,914","2,326","2,101",519,"1,005",115,233,"1,254","2,886",825,"2,082","1,882",626,123,383,"1,133"
.Hispanic or Latino/2,"7,304",276,725,728,422,277,308,13,84,327,"1,167",458,"1,168",938,61,42,58,252
.White alone or in combination with one or more other races,"28,223","1,671","2,623","3,065","2,556",795,"1,337",129,323,"1,539","4,115","1,270","3,248","2,811",694,166,444,"1,438"
.Black or African American alone or in combination with one or more other races,"6,715",230,786,929,334,157,381,19,31,276,"1,019",501,751,631,115,21,132,402
.Asian alone or in combination with one or more other races,"1,986",78,75,205,334,43,174,1,27,185,264,84,135,140,139,8,12,82
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,,,,,,,0
".Householder, spouse present","4,473",249,333,371,617,83,223,40,36,427,751,248,412,424,43,22,70,124
.Other family householder,"3,369",202,473,395,124,89,142,6,46,123,525,211,431,369,50,18,42,126
.Spouse of householder,"4,670",417,318,403,598,85,222,42,40,426,755,246,412,424,43,22,72,143
.Child of householder,"10,366",550,847,"1,187",873,319,409,5,106,602,"1,726",583,"1,291","1,065",119,43,147,491
.Other relative of householder,"3,186",99,157,792,102,190,69,9,23,80,329,165,347,340,38,16,89,340
.Nonrelative of householder,"4,996",194,552,616,328,126,300,4,42,128,678,178,585,412,314,33,42,466
.Nonfamily householder,"6,023",280,834,501,600,111,506,43,92,246,621,240,648,570,344,43,127,216
.Secondary individual in group quarters,21,1,-,-,3,-,-,-,-,-,2,-,-,6,3,-,3,3
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,0
.Not a high school graduate,"3,235",128,206,380,147,130,126,17,24,70,499,210,553,457,15,15,124,137
.High school graduate,"6,074",395,553,832,339,224,298,25,58,260,839,309,772,614,34,29,128,364
.Some college or AA degree,"5,264",327,461,599,446,110,278,48,50,352,741,273,585,534,40,38,123,260
.Bachelor's degree,"3,830",256,266,318,540,115,264,29,67,337,544,146,254,341,110,39,31,171
.Prof. or graduate degree,"2,004",109,112,177,440,32,113,21,29,191,288,72,104,128,49,10,26,102
.Persons age 1-24,"16,698",777,"1,916","1,960","1,333",393,793,8,157,821,"2,477",861,"1,857","1,536",706,66,160,876
MARITAL STATUS,,,,,,,,,,,,,,,,,,0
".Married, spouse present","9,644",687,660,878,"1,235",205,457,82,79,866,"1,554",529,917,906,87,44,145,312
".Married, spouse absent",685,40,42,68,100,26,35,1,6,29,75,30,66,84,26,6,19,33
.Widowed,800,29,39,209,9,10,12,15,3,6,65,44,139,98,5,7,74,39
.Divorced,"3,367",285,300,442,148,107,199,35,41,119,426,164,382,355,28,29,86,218
.Separated,"1,255",275,133,174,37,36,30,4,18,14,134,39,145,101,14,4,32,65
.Never married,"12,992",292,"1,559","1,419","1,017",451,805,8,168,523,"1,699",538,"1,439","1,247",745,77,135,870
.Persons age 1-14,"8,361",384,781,"1,075",699,170,333,4,71,474,"1,434",526,"1,038",819,51,30,101,372
NATIVITY,,,,,,,,,,,,,,,,,,0
 .Native,"31,785","1,767","3,188","3,734","2,653",755,"1,550",125,322,"1,779","4,596","1,586","3,466","3,077",788,176,555,"1,670"
 .Foreign born,"5,319",227,326,532,592,249,322,23,63,253,791,285,660,533,167,21,37,240
  ..Naturalized U.S. citizen,"1,139",56,86,119,108,24,56,21,14,87,189,60,91,123,45,10,15,34
  ..Not a U.S. citizen,"4,181",171,240,413,484,225,266,2,49,166,602,225,569,410,122,10,22,206
TENURE,,,,,,,,,,,,,,,,,,0
.In an owner-occupied housing unit,"10,778",774,939,"1,465",795,287,308,85,112,"1,881","1,328",319,617,805,121,60,186,695
.In a renter-occupied housing unit,"25,610","1,186","2,530","2,676","2,341",689,"1,552",64,263,133,"4,028","1,515","3,408","2,711",826,136,383,"1,170"
.In a no cash renter-occupied housing unit,716,33,45,124,109,29,13,-,9,17,31,37,100,94,8,-,23,44
POVERTY STATUS,,,,,,,,,,,,,,,,,,0
.Below 100% of poverty,"9,283",365,"1,159","1,107",520,283,336,22,92,118,"1,284",597,"1,344",945,396,50,164,502
.100% to 149% of poverty,"4,830",193,587,595,258,186,260,7,45,179,642,316,569,446,138,37,100,272
.150% of poverty and above,"22,991","1,435","1,768","2,564","2,467",536,"1,276",119,248,"1,735","3,461",958,"2,212","2,220",421,108,328,"1,136"
