CITY NAME,2010,2011,2012,2013,2014,2015, long, lat
"Jacksonville city, Florida",823280,829696,837790,844246,854962,868031,-77.1527578, 39.0839973
"Jacksonville city, North Carolina",70882,68146,69501,68921,67609,67357,-82.32482619999999, 29.6516344
"Janesville city, Wisconsin",63570,63460,63572,63791,64052,64123,-77.4302414, 34.7540524
"Jersey City city, New Jersey",248623,253983,257884,259729,262327,264290,-98.1244531, 29.7030024
"Johns Creek city, Georgia",77192,79510,82281,82721,83118,83335,-111.651302, 35.1982836
"Johnson City city, Tennessee",63661,64302,64757,65138,65537,66027,-121.302728, 38.5890723
"Joliet city, Illinois",147739,147943,148277,148041,147934,147861,-85.3904888, 31.2232313
"Jonesboro city, Arkansas",67638,69110,70558,71787,72492,73907,-81.40757099999999, 28.2919557
"Joplin city, Missouri",50928,51140,50260,50736,51324,51818,-119.1005657, 46.2395793
"Jupiter town, Florida",55443,56236,57289,58410,60710,62707,-122.0651819, 37.9100783
"Jurupa Valley city, California",95451,96450,97325,98118,98828,100314,-122.0310733, 37.9779776
"Kalamazoo city, Michigan",74327,74661,75244,75730,75939,76041,-77.4105409, 39.41426879999999
"Kansas City city, Kansas",145943,146282,147590,149032,150109,151306,-88.03424000000001, 42.1103041
"Kansas City city, Missouri",460732,462091,464511,467251,470882,475378,-92.9593797, 44.9238552
"Kenner city, Louisiana",66728,66869,66910,67027,67036,67091,-88.81394689999999, 35.6145169
"Kennewick city, Washington",74357,75585,75987,76729,77490,78896,-72.6850932, 41.76371109999999
"Kenosha city, Wisconsin",99382,99607,100034,99965,100012,99858,-97.2289029, 32.8342952
"Kent city, Washington",119009,120918,123119,124638,125714,126952,-91.6656232, 41.9778795
"Kentwood city, Michigan",48741,49176,49724,50311,50827,51357,-121.7405167, 38.5449065
"Kettering city, Ohio",56237,56095,56035,55879,55642,55525,-117.8131125, 33.8886259
"Killeen city, Texas",129219,131161,134739,136912,138218,140806,-77.2013705, 39.1434406
"Kingsport city, Tennessee",52790,52809,52750,52898,52964,53014,-73.8370786, 40.9125992
"Kirkland city, Washington",80852,82102,83482,84721,86157,87281,-118.3884078, 33.8491816
"Kissimmee city, Florida",59778,61555,63789,65441,67102,69152,-90.2417434, 29.9940924
"Knoxville city, Tennessee",178967,180608,182129,182845,184473,185291,-97.0035982, 28.8052674
"Kokomo city, Indiana",58049,58113,58120,58130,58082,57995,-94.16324039999999, 45.5579451
"La Crosse city, Wisconsin",51361,51246,52064,52034,52370,52306,-72.9278835, 41.308274
"La Habra city, California",60402,61047,61452,61787,62045,62131,-93.4557877, 45.0724642
"La Mesa city, California",57218,57785,58316,58834,59193,60089,-121.2880059, 38.7521235
"Lafayette city, Indiana",68904,69807,69978,70804,70873,71111,-121.6169108, 39.1404477
"Lafayette city, Louisiana",121510,122366,123499,124983,126445,127657,-74.1143091, 40.6687141
"Laguna Niguel city, California",63146,63889,64347,64676,65446,65806,-122.4077498, 37.654656
"Lake Charles city, Louisiana",72227,72646,73578,73908,74752,76070,-118.781482, 34.2694474
"Lake Elsinore city, California",53194,54718,55760,57513,60031,61981,-92.4421011, 35.0886963
"Lake Forest city, California",77593,78447,78990,79472,80120,82492,-80.2706044, 26.271192
"Lake Havasu City city, Arizona",52600,52805,52789,52772,53084,53553,-118.8375937, 34.1705609
"Lakeland city, Florida",97842,99066,99429,100897,102676,104401,-97.1416768, 32.5631924
"Lakeville city, Minnesota",56112,56618,57312,58566,59810,60633,-93.63191309999999, 42.0307812
"Lakewood city, California",80079,80557,80940,81291,81466,81611,-73.5387341, 41.0534302
"Lakewood city, Colorado",143191,144231,145544,147073,149809,152597,-90.4974359, 38.7881062
"Lakewood city, Ohio",52035,51637,51378,51171,50953,50656,-92.0198427, 30.2240897
"Lakewood city, Washington",58235,58626,58860,58969,59465,59829,-112.3679279, 33.6292337
"Lancaster city, California",156875,158397,158798,159871,160699,161103,-95.68901849999999, 39.0558235
"Lancaster city, Pennsylvania",59333,59403,59377,59350,59332,59339,-86.39027, 35.8456213
"Lansing city, Michigan",114344,114308,114280,114253,114657,115056,-117.3794834, 33.1958696
"Laredo city, Texas",237059,241207,245487,249379,252635,255473,-121.9552356, 37.3541079
"Largo city, Florida",79022,78909,79108,79718,80025,81000,-74.2048677, 40.767323
"Las Cruces city, New Mexico",98198,100083,101118,101354,101596,101643,-97.4394777, 35.2225668
"Las Vegas city, Nevada",584780,588370,596328,603488,613527,623747,-122.2348431, 47.3809335
"Lauderhill city, Florida",67130,68344,69294,69960,70644,71579,-99.73314390000002, 32.4487364
"Lawrence city, Kansas",87996,88991,89823,91057,92667,93917,-75.4901833, 40.6084305
"Lawrence city, Massachusetts",76596,77394,78116,78669,79535,80231,-70.2553259, 43.66147100000001
"Lawton city, Oklahoma",97849,98255,98560,97217,97165,96655,-87.5710898, 37.9715592
"Layton city, Utah",67810,68504,68891,71034,72471,74143,-97.69610259999999, 26.1906306
"League City city, Texas",84085,86258,88307,90977,94435,98312,-93.1668858, 44.8041322
"Lee's Summit city, Missouri",91542,91907,92426,93094,93903,95094,-122.1770818, 48.0517637
"Leesburg town, Virginia",43059,44621,46136,47868,49558,51209,-82.9000751, 32.1656221
"Lehi city, Utah",48157,49772,51491,54356,56315,58486,-94.7151865, 39.02284849999999
"Lenexa city, Kansas",48280,48856,49385,50327,51014,52490,-121.8846806, 38.0279762
"Lewisville city, Texas",95840,97479,99638,101257,103080,104039,-80.4775569, 25.4687224
"Lexington-Fayette urban county, Kentucky",296717,301291,305525,308829,311399,314488,-105.0866504, 39.9205411
"Lincoln city, Nebraska",259152,262431,265709,269219,273905,277348,-117.2927641, 34.5362184
"Little Rock city, Arkansas",194003,195260,196583,197278,197652,197992,-117.7075526, 33.5225261
"Livermore city, California",81326,82388,83690,85364,86970,88126,-117.6119925, 33.4269728
"Livonia city, Michigan",96706,96102,95802,95060,94979,94635,-111.929658, 40.5621704
"Lodi city, California",62294,62849,63225,63367,63933,64596,-122.1430195, 37.4418834
"Logan city, Utah",48448,49086,49117,49136,49191,50371,-80.0728201, 26.4614625
"Long Beach city, California",462633,465533,468601,470536,472430,474140,-92.3340724, 38.9517053
"Longmont city, Colorado",86416,87440,88722,90138,90429,92088,-121.2722194, 38.1341477
"Longview city, Texas",80586,80990,81267,81431,81555,82287,-97.8202888, 30.505198
"Lorain city, Ohio",64080,63966,63767,63715,63751,63647,-81.0228331, 29.2108147
"Los Angeles city, California",3796575,3828604,3864724,3902005,3936940,3971883,-82.3534727, 36.3134397
"Louisville/Jefferson County metro government (balance), Kentucky",597738,600883,604924,610213,612821,615366,-80.2497707, 26.2128609
"Loveland city, Colorado",67006,69168,70262,71402,72704,75182,-118.1137535, 34.0165053
"Lowell city, Massachusetts",106686,107562,108573,109653,110235,110699,-119.0376023, 34.2163937
"Lubbock city, Texas",230622,233605,236262,239922,244861,249042,-89.0187222, 42.6827885
"Lynchburg city, Virginia",75703,76607,77477,78266,78627,79812,-82.1823746, 41.452819
"Lynn city, Massachusetts",90505,90594,91212,91694,92115,92457,-91.4984941, 44.811349
"Lynwood city, California",69632,69812,70833,71526,71679,71989,-82.3940104, 34.85261759999999
"Macon-Bibb County, Georgia",155375,155552,155912,154345,153711,153515,-119.2920585, 36.3302284
"Madera city, California",61550,61973,62542,62964,63606,64208,-92.2670941, 34.769536
"Madison city, Wisconsin",233622,237037,240097,243367,246012,248951,-93.711332, 41.5772115
"Malden city, Massachusetts",59564,59930,60366,60776,60928,61068,-118.096735, 33.9830688
"Manchester city, New Hampshire",109611,109807,110175,110208,110298,110229,-92.34257749999999, 42.492786
"Manhattan city, Kansas",52705,54251,56753,56318,55772,56308,-108.5506486, 39.0638705
"Mansfield city, Texas",56804,58052,59322,60843,62253,64274,-86.4808043, 36.9685219
"Manteca city, California",67692,69282,71011,71969,73468,75448,-88.5426136, 44.0247062
"Maple Grove city, Minnesota",61803,63204,64422,65437,66947,68385,-83.7430378, 42.2808256
"Margate city, Florida",53420,54370,55109,55623,56075,57234,-89.6501481, 39.78172130000001
"Marietta city, Georgia",56892,57628,58492,59189,60058,59067,-87.7416246, 42.0324025
"Marysville city, Washington",60202,61291,62373,63302,65116,66773,-97.678896, 30.5082551
"McAllen city, Texas",130881,133617,135391,136950,138677,140269,-122.0307963, 36.9741171
"McKinney city, Texas",132816,137954,143469,149160,156898,162898,-120.0607176, 36.9613356
"Medford city, Massachusetts",56321,56667,57071,57266,57295,57403,-118.2250725, 33.9816812
"Medford city, Oregon",75039,75672,76523,77424,78552,79805,-94.1265562, 30.080174
"Melbourne city, Florida",76377,76593,77029,77662,78654,80127,-117.0230839, 32.7678287
"Memphis city, Tennessee",652479,655816,659537,658310,656482,655770,-83.29104679999999, 42.6389216
"Menifee city, California",78093,79936,81411,83550,85152,87174,-96.7898034, 46.8771863
"Merced city, California",79165,79858,80520,81108,81646,82436,-82.14009229999999, 29.1871986
"Meriden city, Connecticut",60874,60742,60653,60493,60287,59988,-122.518458, 47.1717649
"Meridian city, Idaho",75607,77855,80375,83488,87712,90739,-83.8088171, 39.9242266
"Mesa city, Arizona",440853,445450,452855,458897,465378,471825,-111.8507662, 40.3916172
"Mesquite city, Texas",139908,141450,143414,143666,144526,144788,-72.80704349999999, 41.5381535
"Miami Beach city, Florida",88180,90421,91268,91844,91956,92312,-73.7629097, 41.03398620000001
"Miami city, Florida",401054,412464,416952,421410,431376,441003,-76.3055144, 40.0378755
"Miami Gardens city, Florida",107573,110420,111576,112347,112542,113187,-118.0275667, 34.0686206
"Midland city, Texas",111246,113929,119846,124213,128158,132950,-111.2833449, 47.4941836
"Midwest City city, Oklahoma",54588,55305,56167,56809,57095,57249,-105.0874842, 39.8027644
"Milford city (balance), Connecticut",51312,51386,51514,51642,51879,52087,-111.6585337, 40.2338438
"Milpitas city, California",66754,67195,68989,70116,73733,77604,-122.5310874, 37.9735346
"Milwaukee city, Wisconsin",595120,597570,599114,600071,600598,600155,-117.5848025, 33.952463
"Minneapolis city, Minnesota",383083,388277,392913,400478,407209,410939,-121.7732971, 38.67851570000001
"Minnetonka city, Minnesota",49787,50629,51114,51384,51489,51669,-118.1331593, 33.9401088
"Miramar city, Florida",122405,125133,128986,130552,135018,137132,-117.9186689, 33.6411316
"Mission city, Texas",78096,79687,80893,81620,82476,83298,-74.2107006, 40.6639916
"Mission Viejo city, California",93287,94214,94959,96461,97183,97156,-96.56388, 32.9029017
"Missoula city, Montana",66977,67580,68488,69006,69810,71022,-84.5499327, 33.95260200000001
"Missouri City city, Texas",67225,67925,68683,70070,71858,74139,-84.5555347, 42.732535
"Mobile city, Alabama",195222,194762,194848,194794,194624,194288,-71.1061639, 42.4184296
"Modesto city, California",203381,204306,205700,207122,209198,211266,-80.2456045, 25.9420377
"Montebello city, California",62518,63043,63356,63624,63769,63921,-122.7714861, 45.4312294
"Monterey Park city, California",60274,60628,60905,61163,61298,61468,-117.1483648, 33.4936391
"Montgomery city, Alabama",205902,207441,204534,201645,200717,200602,-117.3505939, 33.1580933
"Moore city, Oklahoma",55421,56770,57965,58538,59261,60451,-88.2825668, 42.0354084
"Moreno Valley city, California",194366,196946,198824,201033,202904,204198,-74.2654234, 40.5067723
"Mount Pleasant town, South Carolina",68017,69367,71811,74613,77667,81317,-92.4801989, 44.0121221
"Mount Prospect village, Illinois",54290,54439,54580,54784,54972,54747,-117.7256083, 33.5676842
"Mount Vernon city, New York",67378,67772,67905,68327,68476,68628,-93.21772000000001, 44.7319094
"Mountain View city, California",74283,75211,76662,78165,79346,80435,-106.313081, 42.866632
"Muncie city, Indiana",70200,70362,70095,70279,70283,70087,-94.41550679999999, 39.0911161
"Murfreesboro city, Tennessee",109530,111727,113914,117352,120849,126118,-90.6298922, 38.7874699
"Murrieta city, California",103963,105243,106530,107521,108344,109830,-122.0399663, 38.24935809999999
"Nampa city, Idaho",81897,82668,83957,86502,88156,89839,-118.0353449, 34.1397292
"Napa city, California",77112,77739,78357,79090,79915,80434,-73.69178509999999, 42.7284117
"Naperville city, Illinois",142343,143096,143908,144896,146283,147100,-81.6326234, 38.3498195
"Nashua city, New Hampshire",86574,86654,86634,86995,87296,87970,-111.9391031, 40.6096698
"Nashville-Davidson metropolitan government (balance), Tennessee",604926,612374,625488,635243,644729,654610,-71.15258109999999, 42.266752
"National City city, California",58668,59152,59554,60011,60424,61060,-96.7298519, 32.9483335
"New Bedford city, Massachusetts",95042,94813,94854,95015,94954,94958,-79.0558445, 35.9131996
"New Braunfels city, Texas",58137,59414,61006,63200,66204,70543,-116.4668036, 33.7805388
"New Britain city, Connecticut",73251,73243,73093,72952,72856,72808,-118.3531311, 33.9616801
"New Brunswick city, New Jersey",55004,55525,55814,56556,56774,57035,-111.8338359, 41.7369803
"New Haven city, Connecticut",129812,130821,130937,130748,130199,130322,-97.8783911, 36.3955891
"New Orleans city, Louisiana",347900,360779,370011,378921,384360,389617,-88.1070127, 41.8661403
"New Rochelle city, New York",77187,77712,78395,79501,79665,79846,-80.17893509999999, 26.2517482
"New York city, New York",8192426,8287000,8365069,8436047,8495194,8550405,-111.7573521, 32.8795022
"Newark city, New Jersey",277347,277984,278414,279499,280980,281944,-87.1111676, 37.7719074
"Newport Beach city, California",85378,86242,86818,87282,87178,87127,-122.9006951, 47.0378741
"Newport News city, Virginia",180891,180136,180098,181496,182499,182385,-83.9508068, 43.4194699
"Newton city, Massachusetts",85424,85928,87254,87908,88506,88817,-85.9766671, 41.6819935
"Niagara Falls city, New York",50140,49876,49659,49459,49212,48916,-93.6001278, 41.7317884
"Noblesville city, Indiana",52722,54045,55339,56681,57755,59093,-105.0372046, 39.8366528
"Norfolk city, Virginia",242893,243578,245920,245169,246199,246393,-82.8001026, 27.9658533
"Normal town, Illinois",52646,53100,54018,54667,54573,54373,-89.5889864, 40.6936488
"Norman city, Oklahoma",111430,113995,115867,118491,118155,120284,-77.9447102, 34.2257255
"North Charleston city, South Carolina",98008,99812,101982,103975,106636,108304,-83.2784851, 30.8327022
"North Las Vegas city, Nevada",216941,218969,222999,226799,230708,234807,-123.2620435, 44.5645659
"North Little Rock city, Arkansas",62473,63521,64715,66058,66778,66504,-83.1446485, 42.4894801
"North Miami city, Florida",59820,61317,61875,62271,62299,62435,-76.4730122, 37.0870821
"North Port city, Florida",57404,57622,58352,59112,60388,62345,-122.4302013, 45.5001357
"North Richland Hills city, Texas",63489,64372,65343,67346,68544,69204,-121.805789, 38.0049214
"Norwalk city, California",105587,106131,106364,106698,106943,107140,-71.10973349999999, 42.3736158
"Norwalk city, Connecticut",86010,86723,87272,87899,88158,88485,-80.0053176, 35.9556923
"Novato city, California",52008,52726,53256,54217,54947,55530,-122.4702079, 37.6879241
"Novi city, Michigan",55264,55947,56884,57922,58416,58723,-117.2139232, 33.5539143
"O'Fallon city, Missouri",79963,81069,82054,83018,84118,85040,-118.3089661, 34.1808392
"Oak Lawn village, Illinois",56730,56877,57007,57113,57054,56781,-81.9498042, 28.0394654
"Oak Park village, Illinois",51901,51961,52011,52160,52028,52287,-84.3733147, 33.9304352
"Oakland city, California",391752,396786,402074,407885,414339,419267,-122.3477486, 37.9357576
"Ocala city, Florida",56364,56598,56823,57011,57517,58218,-108.5006904, 45.7832856
"Oceanside city, California",167678,169818,171615,173379,174695,175691,-96.994174, 33.046233
"Odessa city, Texas",99865,102258,106300,110696,115001,118968,-73.0514965, 41.5581525
"Ogden city, Utah",83058,83349,83940,84294,84334,85444,-71.4547891, 42.9956397
"Oklahoma City city, Oklahoma",582118,589859,599977,611247,621018,631346,-117.3703235, 34.1064001
"Olathe city, Kansas",126251,128295,130025,131874,132991,134305,-122.2020794, 47.9789848
"Olympia city, Washington",47083,47767,48223,48736,49667,50302,-96.3344068, 30.627977
"Omaha city, Nebraska",432672,435178,438188,440870,442316,443885,-80.5886646, 28.0344621
"Ontario city, California",164425,166010,167095,167784,168972,171214,-104.6091409, 38.2544472
"Orange city, California",136830,138442,139468,140238,139819,140992,-95.7974526, 36.060949
"Orem city, Utah",88773,89725,90733,91753,91876,94457,-83.6874562, 43.0125274
"Orland Park village, Illinois",56717,56994,57251,58515,58659,58619,-120.8465941, 37.4946568
"Orlando city, Florida",239428,243798,250266,255653,263074,270934,-118.081733, 33.9022367
"Oshkosh city, Wisconsin",66065,66155,66677,66770,66668,66555,-80.0533746, 26.7153424
"Overland Park city, Kansas",174095,176102,178917,181220,184429,186515,-120.4357191, 34.9530337
"Owensboro city, Kentucky",57483,57786,58166,58401,58461,59042,-98.4933873, 33.9137085
"Oxnard city, California",198512,200136,201496,203415,205371,207254,-117.9389526, 34.0686208
"Palatine village, Illinois",68616,68850,69117,69350,69414,69308,-80.1247667, 26.2378597
"Palm Bay city, Florida",103340,103359,104184,104794,105816,107888,-90.5776367, 41.5236437
"Palm Beach Gardens city, Florida",48698,49274,50068,50791,51948,52923,-116.9625269, 32.7947731
"Palm Coast city, Florida",75513,76597,77563,78721,80720,82893,-83.35270969999999, 42.36837
"Palm Desert city, California",48694,49319,49908,50551,51172,51869,-86.25198979999999, 41.6763545
"Palmdale city, California",153014,154346,155448,157365,157901,158351,-88.019826, 44.51915899999999
"Palo Alto city, California",64587,65446,66237,66807,67015,66853,-117.2425355, 33.2000368
"Paramount city, California",54127,54445,54775,55143,55280,55412,-104.8771726, 39.5807452
"Parma city, Ohio",81474,80949,80636,80390,80056,79937,-122.989827, 45.5228939
"Pasadena city, California",137176,137960,138612,140055,140521,142250,-80.25211569999999, 26.0764783
"Pasadena city, Texas",149542,151279,152579,153442,154076,153784,-117.4854802, 33.9971974
"Pasco city, Washington",61887,64580,66745,67506,68658,69451,-79.9748103, 32.8546197
"Passaic city, New Jersey",69862,70252,70219,70561,70968,71085,-87.82118539999999, 42.5847425
"Paterson city, New Jersey",146474,145895,146715,147122,147490,147754,-79.9414266, 37.2709704
"Pawtucket city, Rhode Island",71175,71201,71311,71371,71521,71591,-95.2860474, 29.5635666
"Peabody city, Massachusetts",51372,51572,51823,52111,52314,52504,-95.2352501, 38.9716689
"Pearland city, Texas",90894,93249,96347,100068,103348,108821,-80.085059, 42.12922409999999
"Pembroke Pines city, Florida",154452,157499,159855,162603,164666,166611,-100.4370375, 31.4637723
"Pensacola city, Florida",52056,52022,52758,52770,52994,53193,-95.0949303, 29.5074538
"Peoria city, Arizona",154501,156789,160012,163268,167064,171237,-73.7562317, 42.6525793
"Peoria city, Illinois",114933,115328,115662,116507,115784,115070,-80.1289321, 26.3683064
"Perris city, California",68848,70364,71268,72433,73734,74971,-98.39592909999999, 34.6035669
"Perth Amboy city, New Jersey",50948,51283,51893,52321,52676,52682,-81.26367379999999, 28.9005446
"Petaluma city, California",58025,58270,58807,59440,59873,60438,-118.4911912, 34.0194543
"Pflugerville city, Texas",48703,50282,51945,53791,54672,57122,-122.8037102, 45.48706199999999
"Pharr city, Texas",70784,72091,73225,74137,75423,76538,-122.3916754, 40.5865396
"Philadelphia city, Pennsylvania",1528338,1539087,1550584,1556686,1561562,1567442,-76.2982742, 36.8354258
"Phoenix city, Arizona",1450267,1465848,1490625,1513408,1538411,1563025,-111.6946475, 40.2968979
"Pico Rivera city, California",62977,63354,63659,63939,64086,64218,-83.17631449999999, 42.3222599
"Pinellas Park city, Florida",49211,49539,49821,50160,51025,51617,-121.7680088, 37.6818745
"Pittsburg city, California",63546,64623,65633,66807,68162,69424,-119.2305449, 34.2783231
"Pittsburgh city, Pennsylvania",305673,306132,306470,306907,305765,304391,-119.7029194, 36.8252277
"Placentia city, California",50997,51578,51989,52320,52371,52495,-70.93420499999999, 41.6362152
"Plainfield city, New Jersey",49914,50098,50356,50741,50990,51217,-84.3615555, 34.0232431
"Plano city, Texas",261273,267613,272962,275438,278668,283558,-94.3821724, 38.9108408
"Plantation city, Florida",85351,86921,88172,90456,91474,92560,-111.8389726, 40.5649781
"Pleasanton city, California",70449,71268,72281,74265,77758,79510,-114.6276916, 32.6926512
"Plymouth city, Minnesota",70688,71662,72916,73992,75058,75907,-117.2393748, 47.6732281
"Pocatello city, Idaho",54336,54662,54802,54457,54382,54441,-71.0022705, 42.2528772
"Pomona city, California",149119,149948,150870,151671,152962,153266,-95.30106239999999, 32.3512601
"Pompano Beach city, Florida",100105,101840,103203,104684,106130,107762,-119.7526886, 39.5349112
"Pontiac city, Michigan",59491,59628,59959,60072,60077,59917,-70.9494938, 42.46676300000001
"Port Arthur city, Texas",54507,54917,54582,54781,54531,55340,-121.4252227, 37.7396513
"Port Orange city, Florida",56592,56595,56832,57322,58735,59866,-120.5058987, 46.6020711
"Port St. Lucie city, Florida",165381,167104,168935,170726,174068,179413,-104.7091322, 40.4233142
"Porterville city, California",54280,54734,54953,55128,55258,56058,-117.3008784, 34.4263886
"Portland city, Maine",66087,66172,66273,66401,66672,66881,-116.2155619, 33.7205771
"Portland city, Oregon",585427,594115,603366,610055,620420,632309,-122.3126222, 47.3223221
"Portsmouth city, Virginia",95484,95809,96548,96162,95955,96201,-80.1300455, 25.790654
"Poway city, California",47974,48706,49142,49572,49894,50157,-117.9939921, 33.7513419
"Providence city, Rhode Island",178114,178243,178521,178355,179083,179207,-117.1661449, 33.1433723
"Provo city, Utah",112945,114684,115461,116386,114868,115264,-122.1560768, 37.7249296
"Pueblo city, Colorado",106876,107237,107662,107907,108136,109412,-87.56917349999999, 33.2098407
"Quincy city, Massachusetts",92447,92569,92921,93373,93520,93618,-74.16375529999999, 40.8584328
"Racine city, Wisconsin",78781,78498,78225,78140,77993,77742,-122.2087353, 47.6814875
"Raleigh city, North Carolina",406308,414134,423396,431603,440399,451066,-121.9877444, 38.3565773
"Rancho Cordova city, California",65097,66055,66893,67959,69710,71017,-117.6719953, 33.6000232
"Rancho Cucamonga city, California",166261,168172,170419,171512,174127,175236,-118.3525748, 33.9164032
"Rapid City city, South Dakota",68754,69222,70619,71754,73250,73569,-118.2200712, 33.8958492
"Reading city, Pennsylvania",88106,88154,88110,88186,87981,87879,-122.2363548, 37.48521520000001
"Redding city, California",89919,90376,90675,91100,91579,91582,-90.69984769999999, 38.8106075
"Redlands city, California",68826,69422,69825,70083,70572,71035,-75.9268747, 40.3356483
"Redmond city, Washington",54522,55519,56627,57590,59358,60598,-95.6349463, 29.6196787
"Redondo Beach city, California",66778,67153,67501,67809,67966,68166,-117.185294, 33.6971468
"Redwood City city, California",77024,78070,79319,81176,82856,85288,-74.7429384, 40.2170534
"Reno city, Nevada",226493,228391,230718,233333,237075,241445,-73.4540111, 41.394817
"Renton city, Washington",92313,94142,95978,97249,98613,100242,-98.1633432, 26.3017374
"Revere city, Massachusetts",51817,52535,52987,53316,53226,53422,-96.67055030000002, 33.1031744
"Rialto city, California",99412,100774,101617,102022,102615,103132,-118.032844, 33.9791793
"Richardson city, Texas",99571,101672,103711,105251,109205,110815,-121.2810611, 38.7071247
"Richland city, Washington",48514,50319,51509,52361,53068,54248,-71.0183787, 42.0834335
"Richmond city, California",104087,105418,106615,107755,108621,109708,-121.3153096, 44.0581728
"Richmond city, Virginia",204151,206622,210921,213931,216910,220289,-88.2433829, 40.1164204
"Rio Rancho city, New Mexico",88012,89591,90697,91798,92777,94171,-77.3663538, 35.612661
"Riverside city, California",305615,309987,313212,316759,319312,322424,-80.579511, 35.4087517
"Roanoke city, Virginia",96778,96874,98087,99047,99774,99897,-118.281693, 33.8316745
"Rochester city, Minnesota",106976,108132,108999,110592,111333,112225,-106.6630437, 35.2327544
"Rochester city, New York",210602,211107,211137,211144,210597,209802,-80.25659499999999, 26.1669711
"Rochester Hills city, Michigan",71028,71573,72268,72878,73105,73424,-92.1004852, 46.78667189999999
"Rock Hill city, South Carolina",66565,67400,68140,68959,69972,71548,-86.8113781, 33.4053867
"Rockford city, Illinois",152938,151942,151013,150407,149154,148278,-116.9719684, 33.7475203
"Rocklin city, California",57397,58395,59003,59736,60253,61213,-94.1185366, 36.3320196
"Rockville city, Maryland",61536,62155,63208,63869,65601,66980,-111.9738304, 41.223
"Rocky Mount city, North Carolina",57720,57517,56976,56642,56279,55806,-119.6981901, 34.4208305
"Rogers city, Arkansas",56353,57812,59101,60158,61598,63159,-71.0772796, 42.7762015
"Rosemead city, California",53818,54141,54416,54694,54815,54908,-121.8995741, 37.4323341
"Roseville city, California",119371,122273,124130,126639,128413,130269,-71.2356113, 42.3764852
"Roswell city, Georgia",88834,91184,93677,93971,94073,94501,-71.46756599999999, 42.7653662
"Round Rock city, Texas",100772,103943,106598,109643,112784,115997,-116.3915131, 43.6121087
"Rowlett city, Texas",56351,57012,57737,58083,58430,60236,-105.937799, 35.6869752
"Royal Oak city, Michigan",57249,58128,58455,58840,58982,59008,-93.2982799, 44.840798
"Sacramento city, California",467595,471604,475515,479955,484990,490712,-117.2919818, 33.0369867
"Saginaw city, Michigan",51422,51057,50806,50358,49878,49347,-80.0942087, 26.9342246
"Salem city, Oregon",155097,156246,157739,159455,162025,164549,-80.1867138, 25.8900949
"Salinas city, California",150807,152693,154334,155749,156666,157380,-117.9461734, 33.9319578
"Salt Lake City city, Utah",186564,188206,189532,191326,191604,192672,-87.7539448, 41.8455877
"Sammamish city, Washington",46934,47951,49119,50198,51289,52253,-117.0991967, 32.6781085
"San Angelo city, Texas",93644,94663,96089,97438,99240,100450,-122.4781473, 48.74908
"San Antonio city, Texas",1333953,1359461,1386305,1412979,1440309,1469845,-118.1270146, 34.095287
"San Bernardino city, California",210234,212022,213276,214205,214869,216108,-98.32529319999999, 26.2159066
"San Buenaventura (Ventura) city, California",107146,107797,108601,109064,109421,109708,-83.1497751, 42.6064095
"San Clemente city, California",63619,64357,64810,65126,65291,65526,-84.5613355, 39.3995008
"San Diego city, California",1306080,1321256,1340076,1360456,1382251,1394928,-122.121512, 47.6739881
"San Francisco city, California",805813,816231,829517,840715,852537,864816,-84.198579, 34.0289259
"San Jose city, California",955399,971543,985401,1003828,1016597,1026908,-93.30300629999999, 45.1732394
"San Leandro city, California",85137,86016,87130,88285,89450,90712,-112.5837766, 33.3703197
"San Marcos city, California",83978,85163,87101,89817,92898,92931,-75.232664, 43.100903
"San Marcos city, Texas",45214,47681,50062,54505,59231,60684,-93.47078599999999, 44.8546856
"San Mateo city, California",97435,98677,100023,101536,102868,103536,-96.40030689999999, 42.4999942
"San Rafael city, California",57820,58263,58464,59049,59197,59162,-104.8202462, 41.1399814
"San Ramon city, California",72412,73065,73786,74556,75356,76134,-83.2696509, 42.240872
"Sandy city, Utah",88828,89762,90647,91431,92240,93613,-85.48078249999999, 32.6098566
"Sandy Springs city, Georgia",94329,96996,99408,99749,101939,105330,-93.27772259999999, 44.7677424
"Sanford city, Florida",53747,54228,54788,56169,57523,58111,-94.1574263, 36.0625795
"Santa Ana city, California",325503,328844,331645,335228,335245,335400,-95.8608333, 41.2619444
"Santa Barbara city, California",88533,88786,89571,90465,91315,91842,-121.2357828, 38.7907339
"Santa Clara city, California",116857,118018,119609,120831,122290,126215,-118.1228476, 34.0625106
"Santa Clarita city, California",176422,177716,178796,179826,181109,182371,-87.3464271, 41.5933696
"Santa Cruz city, California",60606,61455,62004,62827,63280,64220,-86.13360329999999, 40.486427
"Santa Fe city, New Mexico",81334,81944,82475,83024,83550,84099,-97.9413941, 29.8832749
"Santa Maria city, California",99729,100462,101408,102460,103553,105093,-118.3089624, 33.8883487
"Santa Monica city, California",89796,90673,91665,92551,92743,93220,-72.9492703, 41.67176480000001
"Santa Rosa city, California",168088,169259,170280,171958,173953,174972,-111.9388258, 40.66772479999999
"Santee city, California",53655,54604,55534,56364,57095,57787,-121.6957863, 37.931868
"Sarasota city, Florida",52152,52368,52879,53252,54221,55118,-97.48670279999999, 35.3395079
"Savannah city, Georgia",136906,140083,142163,142578,144138,145674,-93.23494889999999, 45.1607987
"Schaumburg village, Illinois",74292,74517,74731,74904,74925,74693,-82.2359254, 27.044224
